DIRECCION;latitude;longitud;;;;
AV. MARISCAL CASTILLA S/N ESQUINA CON PROLONGACIÓN QUILCA (FRENTE A CAJA MUNICIPAL DE ICA);-14.0749764;-75.7243605;;;;
CALLE AYACUCHO N° 308 - REF. EXTEATRO MUNICIPAL Y A MEDIA CUADRA DE LA FISCALIA;;;;;;
PLAZA BUENOS AIRES N° 100 APLAO;-16.0761834;-72.492153;;;;
CALLE COPACABANA N° 300 - 2 PISO (LOCAL COMUNAL);;;;;;
CALLE AREQUIPA N° 261  FRENTE A LA PLAZA BOLOGNESI - MOLLENDO (SÓTANO DE LA MUNICIPALIDAD FRENTE A LA RENIEC) - ISLAY;;;;;;
CALLE CENTENARIO N° 206; 2° PISO - COTAHUASI; LA UNION;-15.2121955;-72.8898665;;
OFICINA ESTADIO ALMIRANTE MIGUEL GRAU S/N - AV. CARLOS SHUTTON - EL PEDREGAL - MAJES;-16.3571908;-72.1888149;;;;
MERCADO CENTRAL DE MARIANO MELGAR S/N SEGUNDO PISO (ENTRE AVENIDA SIMON BOLIVAR Y JR. CHANCAY);-16.4024547;-71.5079446;;;;
CHAPICHICO MZ E LT-28 (ESQUINA DE AV. SAN MARTIN CON GONZALES PRADA - PARTE BAJA DEL COLEGIO LUNA PIZARRO);;;;;;
CALLE SAN MARTÍN N° 105 - 2DO; PISO (COSTADO DE LA PLAZA TRADICIONAL DE SOCABAYA);-16.4660314;-71.5308508;;;
JR. SANTA ROSA S/N (EX COMEDOR DE LA MUNICIPALIDAD PROVINCIAL DE CANGALLO;-13.62902;-74.1436827;;;;
AV. CUSCO 416;-13.5306135;-71.9364696;;;;
AV.LOS AYLLUS S/N - LOCAL MUNICIPAL - 1ER PISO;;;;;;
JR. LIBERTAD N°185 (A 01 CUADRA DE LA MUNICIPALIDAD DE HUANTA);-12.9384113;-74.2502122;;;;
CENTRO CIVICO OFICINA N°11; SAN MIGUEL -LA MAR (AL COSTADO DE SENASA);;;;;
JR. BOLOGNESI N° 108 (A MEDIA PLAZA DE ARMAS DE PUQUIO) - MUNICIPALIDAD PROVINCIAL DE LUCANAS -PUQUIO;-14.6940206;-74.1241607;;;;
JR. BOLOGNESI N° 421 - CENTRO CIVICO DE CORA CORA;;;;;;
JR. MIGUEL DE CERVANTES S/N (PLAZA DE ARMAS);40.4157478;-3.6964756;;;;
AV. MISIÓN FRANCISCANA CRUCE CON LA AV. RICARDO PALMA - 2DO PISO - FRENTE AL CONVENTO DE SIVIA;-12.5080596;-73.8624893;;;;
INTERIOR DE LA MUNICIPALIDAD DISTRITAL DE QUEROBAMBA; 2DO PISO (PLAZA DE ARMAS);-13.9891662;-73.8183804;;;
AV. VICTOR FAJARDO S/N CUADRA 7 (LOCAL DE LA GOBERNACION);;;;;;
PLAZA PACHACUTEC S/N (INTERIOR DE LA MUNIICIPALIDAD PROVINCIAL DE VILCAS HUAMAN - 3ER PISO);-13.6541087;-73.9521468;;;;
JIRON ARIAS N° 518 - DISTRITO CAJABAMBA (COSTADO DE SUNARP);-7.6395065;-78.0423683;;;;
JR. BELEN  N° 683( COSTADO DE NIÑA DE BELEN);;;;;;
JR. SAN MARTIN N 343 (AL COSTADO DE LA DEFENSORIA PÚBLICA - SEDE CELENDIN);-6.8666512;-78.1421905;;;;
JR. CAJAMARCA 638 (COSTADO DE LA CAJA TRUJILLO CHOTA);-6.562166;-78.6507941;;;;
CALLE BOLOGNESI N° 381- CONTUMAZA( EX LOCAL DE DEMUNA);-7.3666434;-78.8051114;;;;
CENTRO COMERCIAL CUTERVO O MERCADO NUEVO - ENTRE JR LA MERCED Y JR BENJAMIN DOUBLE (FACHADA DE COLOR VERDE - 2DO PISO);-6.3760453;-78.821275;;;;
JR. ATAHUALPA Nº 125A; BAMBAMARCA - HUALGAYOC - CAJAMARCA (AL COSTADO DE LA COMISARIA);-6.6781923;-78.5174942;;;
CALLE UNIVERSIDAD ENTRE LA CDRA 4 Y 5 (INGRESANDO POR EL PASAJE 2 MANO DERECHA)- URB. EL EDEN.;;;;;;
JR. BOLOGNESI 137; PROV. SAN IGNACIO; CAJAMARCA;-5.1447483;-79.0064902;;
JIRON JOSE GALVEZ 113 SAN MARCOS;-7.3357361;-78.1730659;;;;
JIRÓN BOLÍVAR S/N FRENTE A LA SBP - ALTURA DE LA PLAZA DE ARMAS;;;;;;
CALLE JULIAN CRUZADO S/N - INTERIOR DEL GARAJE MUNICIPAL -BARRIO CALIFORNIA;33.0786552;-116.6019637;;;;
JR. ZARUMILLA N°880 ( ESQUINA ENTRE JIRÓN ZARUMILLA Y JIRÓN ATAHUALPA);-12.0708528;-77.1293601;;;;
AV. JUAN PABLO II N° 140;-12.0578301;-77.1150189;;;;
AV. 02 DE MAYO - CDRA. 05 (INT. DE LA SEDE DEL PODER JUDICIAL);;;;;;
MZ Z ; PRIMA N°1; LOTE 3 SECTOR D ; PROYECTO PILOTO NUEVA PACHACUTEC.;-12.0384329;-76.9570244;
CALLE LAS PALOMAS S/N EX - ZONA COMERCIAL - LOCAL LA CASA DE MUJER.;-11.8757976;-77.1275181;;;;
CALLE RAMÓN CASTILLA S/N (EX LOCAL DE ESSALUD);;;;;;
JR. JAQUIJAHUANA S/N (SEGUNDO PISO DEL MERCADO CENTRAL DE ABASTOS DE ANTA);;;;;;
AV. LA PAZ S/N - INTERIOR DEL COLISEO MUNICIPAL;-16.4928471;-68.1320328;;;;
PLAZA DE ARMAS S/N - INTERIOR DEL PALACIO MUNICIPAL 3ER PISO. (EX RADIO MUNICIPAL);;;;;;
AV PERÚ N° 110 - CHUMBIVILCAS;-14.4501924;-72.0819794;;;;
AV. MICAELA BASTIDAS N°450 WANCHAQ (INTERIOR DE LOCAL DE FONCODES - FRENTE DE PUERTA PRINCIPAL DE ESSALUD);-13.5239992;-71.9613554;;;;
PLAZA DE ARMAS S/N INTERIOR DE LA MUNICIPALIDAD DEL CENTRO POBLADO DE KITENI;-12.6478324;-73.0481735;;;;
AV. SAN MARTIN 316- CERCADO (FRENTE AL HOTEL PLAZA Y COSTADO DEL TEATRO MUNICIPAL);-11.9702643;-76.9980432;;;;
JIRON CUSCO N° 273 DEL DISTRITO DE KIMBIRI (PRIMER PISO DEL EDIFICIO DE LA COORDINACIÓN EDUCATIVA);-12.6194392;-73.7882793;;;;
SEGUNDO PISO DEL MERCADO DE PARURO (DIRECCIÓN PROVISIONAL);-13.7615069;-71.84898;;;;
AV. CIRCUNVALACION ERICKSON S/N * 2PISO DEL TERMINAL TERRESTRE - PAUCARTAMBO;-13.3140102;-71.5931657;;;;
JR. INCA GARCILASO DE LA VEGA S/N (FRENTE A LA COMISARÍA DE PICHARI Y A MEDIA CUADRA DE LA PLAZA DE ARMAS) ZONA URBANA DEL DISTRITO DE PICHARI;-12.5177532;-73.8271024;;;;
JR. VILCABAMBA S/N -- LOCAL DE SERENAZGO;-4.2467342;-79.2257558;;;;
URBANIZACION TAMBILLO S/N - URCOS- CASA DE LA JUVENTUD -QUISPICANCHI - CUSCO;-13.6824359;-71.6228355;;;;
AV. MARCOS ZAPATA CON A VENIDA CUSCO (AL COSTADO DEL CENTRO DE SALUD DE SAN SEBASTA<IAN - LOCAL DE DEMUNA - 4TO PISO ) QUINTO PAREDERO DE SAN SEBASTIAN;-13.53195;-71.9674626;;;;
PLAZA MUNICIPAL S/N DISTRITO DE SAYLLA-PALACIO MUNICIPAL;-13.5506489;-71.8274846;;;;
AV. CONFEDERACIÓN N° 222 -224 (1ER PISO DEL INABIF A MEDIA CUADRA DEL GRIFO COPACABANA);-17.3942623;-66.1739741;;;;
JR. BELÉN S/N (REF. ESQUINA BELÉN CON GRAU - LOCAL MUNICIPAL);;;;;;
PLAZA JORGE CHAVEZ S/N (1ER PISO DE LA MUNICIPALIDAD PROVINCIAL DE ACOBAMBA);-12.860765;-74.5814773;;;;
AV. CENTENARIO S/N - PARQUE ANDRES AVELINO CACERES - PUEBLO NUEVO - LIRCAY (LOCAL DEL CENTRO CIVICO);-12.9951759;-74.7249281;;;;
AV. LOS LIBERTADORES S/N ( INT. DE LA MUNICIPALIDAD PROVINCIAL DE CASTROVIRREYNA);-13.2833411;-75.3181947;;;;
ESQUINA REAL Y SAN ANTONIO ( COSTADO DE ELECTRO CENTRO- FRENTE A PLAZA PRINCIPAL);29.4241219;-98.4936282;;;;
JR. POTOCCHI S/N ESPALDA DE LA PISCINA SAN CRISTOBAL -;;;;;;
CALLE MUNICIPAL N° 100 SEGUNDO PISO (MUNICIPALIDAD PROVINCIAL DE HUAYTARA - PLAZA DE ARMAS;-13.6040212;-75.3532422;;;;
JR. ZAVALA 456 -PAMPAS (INTERIOR DE LOCAL MODULO ADULTO MAYOR PAMPAS- TAYACAJA);-12.3992902;-74.8659421;;;;
JR. MARISCAL CASTILLA CDRA 02 -AL LADO DEL BANCO DE LA NACIÓN;;;;;;
2DO PISO DEL MERCADILLO DEL DISTRITO DE RIPAN - PASANDO EL PUENTE DE PIEDRA;;;;;;
JR. PACHACUTEC CDRA 02 S/N - 2DO PISO DE LA MUNICIPALIDAD PROVINCIAL DE HUACAYBAMBA;-9.0950407;-76.8368896;;;;
JR. HUAMALIES S/N; LLATAS HUAMALIES;-9.5495518;-76.8179391;;;
MALECÓN LOS INCAS (ESQUINA CON OLLANTAY)- LOCAL MULTISERVICIO DE ATENCIÓN MADRE NIÑO;-9.9434035;-76.2463867;;;;
JR. LEONCIO PRADO S/N - JESSUS (AL COSTADO ES SALUD ) A UNA CUADRA DE LA COMISARIA;-11.9773437;-77.0571246;;;;
AV. 28 DE JULIO S/N PRIMER PISO DEL CENTRO CIVICO DE LA MUNICIPALIDAD PROVINCIAL DEL MARAÑON;;;;;;
JR. ALFONSO UGARTE N° 204 - PANAO - PACHITEA - (EX ES SALUD);-10.1734024;-75.8533954;;;;
JR. SAN ALEJANDRO 331 ( FRENTE A LA UNIVERSIDAD HUANUCO);-9.9207648;-76.2410843;;;;
JR. SAN ALEJANDRO 331 ( FRENTE A LA UNIVERSIDAD HUANUCO);-9.9207648;-76.2410843;;;;
CALLE VIRGEN DE FATIMA S/N 3ER PISO . EX HOTEL MUNICIPAL;;;;;;
JR. APURÍMAC N° 227 (COSTADO DE LA MORGUE DE ICA);-14.0504533;-73.087749;;;;
JIRON TACNA 338 - 2DO PISO (BIBLIOTECA MUNICPAL DE NASCA );-18.0065679;-70.2462741;;;;
CALLE AREQUIPA 135 - AL FRENTE DE LA COMISARIA DE PALPA;-16.4090474;-71.537451;;;;
AV. JOHN F. KENNEDY N° 500 (REF. INTERIOR DE LA MUNICIPALIDAD DISTRITAL);;;;;;
ESQUINA MAYTA CAPAC CON HERMANOS AYAR S/N - PRIMER PISO - REFERENCIA: ESPALDA DE LA MUNICIPALIDAD DE TÚPAC AMARU INCA (LA VILLA);-13.7129199;-76.1474231;;;;
AV. OSCAR R. BENAVIDES N° 699 (INTERIOR DEL MUNICIPIO) - PRIMER PISO.;-12.0472216;-77.0506644;;;;
PANAMERICANA SUR KM 318-LOCAL MUNICIPAL;-14.1867884;-75.7143961;;;;
AV CIRCUNVALACION 898 LA MERCED;CHANCHAMAYO(COLISEO MUNICIPAL);-11.0545869;-75.3303317;;;
JIRON NICOLAS DE PIEROLA 204 (ESQUINA CON CALLE CESAR VALLEJO - 2 PISO);-12.1326738;-76.9961508;;;;
JR. GRAU 159-161 ; 1ER PISO (COSTADO DE RENIEC);;;;;
JIRON RICARDO PALMA S/N PLATAFORMA DEL MERCADO MODELO (COSTADO DE LA RENIEC);;;;;;
JR. CUZCO N° 1590 (COSTADO DE LA SOCIEDAD DE BENEFICIENCIA DE HUANCAYO Y HOSPITAL CARRION);-13.53195;-71.9674626;;;;
JR. AYACUCHO 1036; PLAZA PRINCIPAL DE DISTITO DE APATA;-11.8489551;-75.3577405;;;
JR. BOLIVAR N° 820 - JUNIN - JUNIN;-11.1615645;-75.9992677;;;;
CALLE 28 DE JULIO S/N (A ESPALDAS DE LA MUNICIPALIDAD DISTRITAL DE PANGOA).;-11.8998089;-74.3118212;;;;
JIRÓN JUNÍN CUADRA 908-A ESPALDAS DE LA GOBERNACIÓN DE PICHANAQUI;-10.9265815;-74.8745545;;;;
JR. AGUSTO B. LEGUÍA N° 1126 (CENTRO CIVICO 1ER PSIO);-6.4814296;-76.3678685;;;;
JR. AMAZONAS CDRA. 4 - 2DO PISO DEL MERCADO MODELO - TARMA (COSTADO DE WAWAWASI);-3.4168427;-65.8560646;;;;
AV. HORACIO ZEVALLOS GAMES N° 315 CENTRO CIVICO - 2DO PISO;-12.0083714;-76.8422129;;;;
JR. SAN MARTÍN N° 535; A UNA CUADRA DEL INSTITUTO SUPERIOR TÉCNICO BOLIVAR;38.7368192;-9.138705;;;
JR. ATAHUALPA N° 707 -2DO PISO ( INTERIOR DE LA IGLESIA - PLAZA DE ARMAS DE CHEPEN);-7.2271893;-79.4288257;;;;
JR.GILDEMEISTER Nº 187 ( A ESPALADAS DEL INSTITUTO TECNOLOGICO);;;;;;
MZ. 27 LT. 1; SECTOR RÍO SECO; BARRIO 4; DISTRITO EL PORVENIR; PROVINCIA DE TRUJILLO;-8.0679486;-78.9958054
CALLE JOSÉ DE LA TORRE UGARTE; N° 1000 2DO PISO (DENTRO DE LA MUNICIPALIDAD);-12.0892435;-77.0345852;;;
PASAJE MEDIO MUNDO S/N -CASCAS (LOCAL DEL ESTADIO MUNICIPAL);;;;;;
INTERSECCIÓN DE AV. HUAMACHUCO Y PASAJE BELAUNDE - DISTRITO DE CHUGAY (COSTADO DE ESTADIO CHUGAY);-7.816461;-78.0452048;;;;
AV. CESAR VALLEJO N° 306; JULCAN (AL COSTADO DE RADIO JULCÁN);-8.0442754;-78.4880543;;;
3ER SECTOR DE WINCHANZAO MZ 33 LOTE 01 (COSTADO DEL CENTRO DE SALUD WINCHANZAO Y DE LA COMISARIA DE LA ESPERANZA );-8.0568859;-79.0524998;;;;
CALLE TACNA N° 547 - PROVINCIA DE OTUZCO; DEPARTAMENTO LA LIBERTAD;-7.9050794;-78.5605941;;;
CALLE RAZURI Nº 337 SAN PEDRO DE LLOC;-7.4304331;-79.5044694;;;;
JR. JOSÉ GALVEZ S/N - 4TA CDRA DEL CENTRO CIVICO; 1ER PISO.;;;;;
CALLE HERALDOS NEGROS Nº. 355 - 2DO PISO (INTERIOR DE LOCAL PSICINA MUNICIPAL FRENTE AL HOTEL  EL MIRADOR);;;;;;
MZ C LOTE 5 SECTOR A- (PUEBLO JOVEN MONSERRATE) (ALT. DE LAS CDRAS 4 Y 5 DE LA AVENIDA HUSARES DE JUNIN;-12.0752829;-77.0532624;;;;
CALLE MARISCAL CACERES 106 - DITR. VIRU (FRENTE A AMA LOCAL FINANCIERO);-7.180369;-76.726927;;;;
AV. ARGENTINA 2251 - REF. PASANDO EL MERCADO DE MOCHOQUEQUE AL INT. DE LA COMISARIA FAMILIA JOSE LEONARDO ORTIZ;-6.7448809;-79.8464804;;;;
CALLE SAN MARTÍN Nº 311 (EX LOCAL INPPARES - A UNA CUADRA DE RENIEC);;;;;;
CALLE HUÁSCAR N° 431;-12.026488;-77.0364108;;;;
AV. SAN LUCAS S/N MZ. J; LOTE 01 AAHH VILLA SAN ANTONIO CARABAYLLO - LIMA . (PRIMERA ENTRADA DE SAN ANTONIO A 4 CUADRAS).;-11.792902;-76.9873477;;;
NICOLAS AYLLON N° 1478 - CHACLACAYO;-11.9741308;-76.7622932;;;;
AV. ENRIQUE GUZMAN Y VALLE S/N INTERIOR DE LA CASA DE LA MUJER DE CHOSICA - 3 ER PISO;-12.0096967;-76.9053613;;;;
AA. HH. MAGDA PORTAL AVENIDA SAN MARTÍN MZ L LOTE 01.- CIENEGUILLA;-12.1060257;-76.8295806;;;;
PJE. NEPTUNO S/N KM. 14.5 TÚPAC AMARU MERCADO AÑO NUEVO.( COSTADO DEL MERCADO DE AÑO NUEVO - INTERIOR INABIF).;-11.924646;-77.0398396;;;;
JR. MANUEL TEJADA DIAZ S/N - URB. COORPORACION. EL AGUSTINO;-12.0513713;-76.9977264;;;;
AV. TÚPAC AMARU. K 4.5 - 2DO PISO ( INTERIOR DE LA MUNICIPALIDAD INDEPENDENCIA- 2DO PISO DE ARCHIVO MUNICIPAL);-33.4155974;-70.6642603;;;;
CALLE LOS MANGOS 145-146 URB AMPLIACION RESIDENCIAL MONTERRICO - LA MOLINA. REF: ESPALDA DE METRO DE LA AV LA MOLINA CON JAVIER PRADO;-12.0701221;-76.9578802;;;;
CALLE SEBASTIAN BARRANCA N°290; SEGUNDO PISO - LA VICTORIA;-12.0686349;-77.0288072;;;
JR. CAMANA N° 616 CERCADO DE LIMA-LIMA; BREÑA; JESUS MARIA; LINCE;-12.032535;-77.0815918;
PALACIO DE LA JUVENTUD - 6TOPISO AV. UNIVERSITARIA CUADRA 2086 (CRUCE AV. ANGELICA GAMARRA Y UNIVERSITARIA);-12.0029308;-77.0827819;;;;
CALLE RODOLFO RUTTÉ 718 - MAGDALENA DEL MAR;-12.090338;-77.062329;;;;
AV. VÍCTOR MALASQUES S/N PORTADA DE;;;;;;
MZ. E LT. 9 URB. PALERMO - REFERENCIA ESPALDA DE TOTTUS - DEL COLEGIO;;;;;;
CALLE 15 N° 225 2° PISO URBANIZACION LA FLORIDA;27.6648274;-81.5157535;;;;
JR. SAN MARTÍN N° 675 URB.SAN RAFAEL AGENCIA MUNICIPAL N°1- 2DO PISO . ( PARADERO 8 DE AV. CANTO GRANDE - AGENCIA MUNICIPAL).;-11.9918478;-77.0149192;;;;
AV CENTRAL S/N SECTOR ALFONSO UGARTE PAMPLONA ALTA. (INTERIOR DE SEDIF -INABIF- PARADERO CORREO);;;;;;
CALLE PEDREGAL 406- 2DO PISO)- SMP. ( ALTURA DE LA CUADRA 9 DE LA AV ZARUMILLA; PUENTE CONTROL; AL COSTADO DEL CLUB DE LEONES).- EN EL MISMO LOCAL DE LA DEMUNA.;-12.0350845;-77.0549398;;
COMPLEJO RECREACIONAL DIEGO FERRER; ESQUINA CALLE DIEGO FERRER CON ESQUINA CALLE LOS GIRASOLES (ALTURA CRA. 22 AV. RIVA AGUERO) - SAN MIGUEL;-12.0111302;-77.0822012;;;
CALLE BERTELO S/N (INTERIOR DE LA CASA DE LA CULTURA Y LA JUVENTUD) - PASANDO LA COMISARISA DE SANTA ROSA;;;;;;
JR. LAS ORQUIDEAS MZ N1 LOTE 1- URB. SAN IGNACIO - MONTERRICO - SURCO.;-12.1415788;-76.9763187;;;;
AV.ANGAMOS ESTE N°1820 - REF. FRENTE AL OPEN PLAZA ANGAMOS;-12.1116941;-77.0125394;;;;
INTERIOR DE LA COMISARIA DE LA MUJER - SECTOR;;;;;;
PASAJE PAUL ESCOBAR 105 - VALLECIRO BAJO - SAN GABRIEL - VMT- REF: A 2 CUADRAS DE COMISARIA JOSE CARLOS MARIATEGUI;-12.1675125;-76.9201161;;;;
SE ENCUENTRAN LABORANDO EN EL CEM COM. CAJA DE AGUA - CALLE MOQUEGUA CON TRUJILLO - SAN JUAN DE LURIGANCHO - LIMA - LIMA.;-12.0268968;-77.014997;;;;
PASAJE SANTA ZORAYA  ESQUINA CON INDEPENDENCIA S/N;;;;;;
CALLE PLAZA DE ARMAS N° 109;;;;;;
AVENIDA CIRCUNVALACIÓN S/N (AL COSTADO DEL CEMENTERIO DE CANTA);-11.4691392;-76.6232202;;;;
JR. COLON 533  HUACHO -  AL FRENTE DE COLEGIO DE MADRES DOMINICAS;-11.1227218;-77.6105679;;;;
CALLE LA HUAQUILLA CON CALLE EL PALOMO. LOCAL DE LA DEMUNCA.;-3.4763823;-80.2225448;;;;
JR. TACNA 626 CENTRO CÍVICO - MATUCANA - HUAROCHIRÍ (ESPALDA DE LA IGLESIA DE MATUCANA).;-11.8407317;-76.3796453;;;;
JR.28 DE JULIO N° 491. (COSTADO DE LA BIBLIOTECA VIRTUAL; INTERIOR DE LA GALERIA MUNICIPAL);;;;;
JIRÓN UNIÓN S/N (FRENTE AL MERCADO CENTRAL);-34.7094005;-58.5022472;;;;
CALLE AURORA S/N (1ER PISO DEL HOSPEDAJE MUNICIPAL) PLAZA JORGE CHÁVEZ - YAUYOS);-12.4600538;-75.9167047;;;;
CARLOS P. SAENZ – 1RA CUADRA -2DO PISO; CABALLO COCHA -MARISCAL RAMON CASTILLLA;-3.9072082;-70.5165822;;;
Calle Tigre N° 249-2° Piso- LOCAL DE LA MUNICIPALIDAD PROVINCIAL DATEM DEL MARAÑON;;;;;;
AV. MARISCAL CÁCERES N° 1720 - CASA DE LA AMISTAD PRIMER- COSTADO DE MIGRACIONES;;;;;;
calle Patricio Mosquera S/N ex hotel Municipal;;;;;;
CALLE MANUEL PACAYA N° 377- INTERIOR DE LA MUNICIPALIDAD DE NAUTA;-4.5065713;-73.5757325;;;;
CALLE AREQUIPA S/N - SAN ANTONIO DEL ESTRECHO (EX HOTEL MUNICIPAL-2 PISO);-16.4090474;-71.537451;;;;
CALLE SAN ANTONIO S/N - 2 DO PISO DE RENIEC;;;;;;
AVENIDA ABELARDO QUIÑONES N° 2371 (INTERIOR DE LA MUNICIPALIDAD DE SAN JUAN BAUTISTA);-3.7703142;-73.2803099;;;;
Esq. Calle Mariscal Castilla con Jr. Amazonas (Ref. Interior de la Biblioteca Municipal);-3.4168427;-65.8560646;;;;
CALLE ANGAMOS N°417 (INTERIOR DE LA MUNICIPALIDAD DE ALTO AMAZONAS);-5.8846104;-76.1304244;;;;
AV. INDEPENDENCIA S/N (A ESPALDAS DE LA MUNICIPALIDAD DE HUEPETUHE).;-13.0258926;-70.6692655;;;;
Pasaje Los Olivos Mz L; Lte.5- Barrio El  Bambu;-11.9593005;-77.0760254;;;
Jr. Francisco Bolognesi S/N (Ref. al frente de la piscina SECA);;;;;;
AVENIDA 2 DE MAYO N°710; PUERTO MALDONADO;-12.592623;-69.1821705;;;
CALLE RIOJA N° 659 - DISTRITO DE RAYMONDI (REF. INTERIOR DEL LOCAL DE LA MUNICIPALIDAD);-30.981979;-64.1057959;;;;
JR. MALECÓN RÍO NEGRO MZ. L-5 LT.01 -  AGUAYTIA (REF. LOCAL DEL CEDIF);-9.0368122;-75.5094999;;;;
JR. TACNA Nº 292 (REF. EX LOCAL DEL SERENAZGO);-12.0959096;-77.0729732;;;;
JIRON BOLOGNESI N° 380 (COSTADO DE MERCADO CENTRAL DE YANAHUANCA - PARROQUIA SAN PEDRO);-10.4911471;-76.5155834;;;;
ESQ. JR. MAYER Y JR. RUFFINER S/N (1ER PISO DEL MERCADO SANTA ROSA -TIENDA 9);;;;;;
JIRON FRANCISCO BOLOGNESI S/N (COSTADO DE LA CAPILLA DE ULIACHIL);;;;;;
JR.COOPERATIVA N° 220 - VILLA RICA (COSTADO DE LA MUNICIPALIDAD);33.732052;-84.9191081;;;;
