UNIVERSIDAD,DEPARTAMENTO,PROVINCIA,Latitude_univ,Longitude_univ
Universidad Nacional Autónoma de Chota,CAJAMARCA,Chota,-6.555663699999999,-78.6381006
Universidad Nacional de Barranca,LIMA,Barranca,-10.7543083,-77.7582582
Universidad Nacional de Cañete,LIMA,Cañete,-13.0731392,-76.3678583
Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua,AMAZONAS,Bagua,-5.631812099999999,-78.5351621
Universidad Nacional Intercultural de la Selva Central Juan Santos Atahualpa,JUNIN,Chanchamayo,-10.92725,-74.87096149999999
Universidad Nacional Intercultural de Quillabamba,CUSCO,La Convención,-12.8568505,-72.6917239
Universidad Nacional Autónoma de Alto Amazonas,LORETO,Alto Amazonas,-5.897501099999999,-76.1287931
Universidad Nacional Autónoma Altoandina de Tarma,JUNIN,Tarma,-11.4199899,-75.6892578
Universidad Nacional Autónoma de Huanta,AYACUCHO,Huanta,-12.9399318,-74.2436828
Universidad Nacional Tecnológica de San Juan de Lurigancho,LIMA,Lima,-11.9833053,-77.0094738
Universidad Autónoma Municipal de Los Olivos,LIMA,Lima,-12.0003522,-77.08339029999999
Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,HUANCAVELICA,Tayacaja,-12.3606436,-74.8379163
Universidad Nacional Ciro Alegría,LA LIBERTAD,Sanchez Carrión,-7.816460999999999,-78.0452048
Pontificia Universidad Católica del Perú,LIMA,Lima,-12.069512,-77.0793592
Universidad Peruana Cayetano Heredia,LIMA,Lima,-12.0239773,-77.0565049
Universidad Católica de Santa María,AREQUIPA,Arequipa,-16.4061786,-71.5476298
Universidad del Pacífico,LIMA,Lima,-12.0837969,-77.048806
Universidad de Lima,LIMA,Lima,-12.0847243,-76.9710095
Universidad de San Martín de Porres,LIMA,Lima,-12.1050193,-77.01736660000002
Universidad Femenina del Sagrado Corazón,LIMA,Lima,-12.0716313,-76.9650529
Universidad Inca Garcilaso de la Vega,LIMA,Lima,-12.0608746,-77.0392569
Universidad de Piura,PIURA,Piura,-5.1766923,-80.6346434
Universidad Ricardo Palma,LIMA,Lima,-12.1318477,-76.9796467
Universidad Andina Néstor Cáceres Velásquez,PUNO,San Román,-15.532748,-70.118667
Universidad Peruana Los Andes,JUNIN,Huancayo,-12.0400383,-75.1924434
Universidad Peruana Unión,LIMA,Lima,-11.989087,-76.83966199999999
Universidad Andina del Cusco,CUSCO,Cusco,-13.5375735,-71.9038466
Universidad Tecnológica de los Andes,APURIMAC,Abancay,-13.6323333,-72.8871776
Universidad Privada de Tacna,TACNA,Tacna,-18.0048523,-70.22611719999999
Universidad Particular de Chiclayo,LAMBAYEQUE,Chiclayo,-6.7917517,-79.88073779999999
Universidad San Pedro (*1),ANCASH,Santa,-9.0532681,-78.5907465
Universidad Privada Antenor Orrego,LA LIBERTAD,Trujillo,-8.1269948,-79.0314248
Universidad de Huánuco,HUANUCO,Huánuco,-9.9284112,-76.2371722
Universidad José Carlos Mariátegui (*2),MOQUEGUA,Mariscal Nieto,-17.1900294,-70.9423867
Universidad Marcelino Champagnat,LIMA,Lima,-12.13674,-77.00605639999999
Universidad Científica del Perú (*3),LORETO,Maynas,-3.7694078,-73.2820646
Universidad César Vallejo S.A.C.,LA LIBERTAD,Trujillo,-8.1293904,-79.0433213
Universidad Católica Los Ángeles de Chimbote (*4),ANCASH,Santa,-9.0784016,-78.5889924
Universidad Peruana de Ciencias Aplicadas S.A.C.,LIMA,Lima,-12.104061,-76.962902
Universidad Privada del Norte S.A.C.,LA LIBERTAD,Trujillo,-8.099882,-79.01906369999999
Universidad San Ignacio de Loyola S.A.,LIMA,Lima,-12.0733251,-76.95194459999999
Universidad Alas Peruanas,LIMA,Lima,-12.0814023,-77.0467478
Universidad Privada Norbert Wiener,LIMA,Lima,-12.0688186,-77.036985
Universidad Católica San Pablo,AREQUIPA,Arequipa,-16.3900752,-71.5354639
Grupo Educativo Universidad Privada de Ica S.A.C. (*5 *13),ICA,Ica,-14.0767574,-75.73588579999999
Universidad Privada San Juan Bautista S.A.C. (*6),LIMA,Lima,-11.9888573,-77.060934
Universidad Tecnológica del Perú,LIMA,Lima,-12.0642955,-77.0369772
Universidad Continental S.A.C. (*7),JUNIN,Huancayo,-12.0476664,-75.1987032
Universidad Científica del Sur S.A.C.,LIMA,Lima,-12.2216386,-76.9767202
Universidad Católica Santo Toribio de Mogrovejo,LAMBAYEQUE,Chiclayo,-6.7603743,-79.86303319999999
Universidad Privada Antonio Guillermo Urrelo,CAJAMARCA,Cajamarca,-7.171680299999999,-78.501215
Universidad Católica Sedes Sapientiae,LIMA,Lima,-11.9953135,-77.0672307
Universidad Señor de Sipán,LAMBAYEQUE,Chiclayo,-6.7950553,-79.88521779999999
Universidad Católica de Trujillo Benedicto XVI (*8),LA LIBERTAD,Trujillo,-8.1602468,-79.0111745
Universidad Peruana de las Américas,LIMA,Lima,-12.0631513,-77.0378175
Universidad ESAN,LIMA,Lima,,
Universidad Antonio Ruiz de Montoya,LIMA,Lima,-12.0701332,-77.05902850000001
Universidad Peruana de Ciencias e Informática,LIMA,Lima,-12.0721316,-77.0420936
Universidad para el Desarrollo Andino,HUANCAVELICA,Angaraes,-12.9875657,-74.721313
Universidad Privada Telesup,LIMA,Lima,-12.0640089,-77.0345749
Universidad Sergio Bernales S.A.,LIMA,Cañete,-13.0731319,-76.3678548
Universidad Privada de Pucallpa S.A.C.,UCAYALI,Coronel Portillo,-8.388075299999999,-74.5313108
Universidad Autónoma de Ica S.A.C. (*9),ICA,Chincha,-13.4156394,-76.1286726
Universidad Privada de Trujillo,LA LIBERTAD,Trujillo,-8.1080914,-78.99443049999999
Universidad Privada San Carlos,PUNO,Puno,-15.8395008,-70.0295166
Universidad Peruana Simón Bolivar,LIMA,Lima,-12.0714689,-77.0510524
Universidad Peruana de Integración Global S.A.C.,LIMA,Lima,-12.134611,-76.979023
Universidad Peruana del Oriente S.A.C.,LORETO,Maynas,-3.772631,-73.282986
Universidad Autónoma del Perú,LIMA,Lima,-12.195444,-76.9719561
Universidad de Ciencias y Humanidades,LIMA,Lima,-11.9615097,-77.0655921
Universidad Privada Juan Mejía Baca,LAMBAYEQUE,Chiclayo,-6.7677972,-79.8325989
Universidad Jaime Bausate y Meza,LIMA,Lima,-12.0849556,-77.0547406
Universidad Peruana del Centro,JUNIN,Huancayo,-12.0700173,-75.2115571
Universidad Privada Arzobispo Loayza S.A.C,LIMA,Lima,-12.0741046,-77.035806
Universidad Le Cordon Bleu S.A.C.,LIMA,Lima,-12.0987694,-77.05647119999999
Universidad Privada de Huancayo Franklin Roosevelt,JUNIN,Huancayo,-12.0421667,-75.19566329999999
Universidad de Lambayeque S.A.C.,LAMBAYEQUE,Chiclayo,-6.7745742,-79.8450745
Universidad de Ciencias y Artes de América Latina S.A.C.,LIMA,Lima,-12.0857224,-76.90866880000002
Universidad Peruana de Arte Orval S.A.C.,LIMA,Lima,-12.1108158,-76.99129719999999
Universidad Privada de la Selva Peruana (*10),LORETO,Maynas,-3.7546883,-73.24716320000002
Universidad Ciencias de la Salud,AREQUIPA,Arequipa,-16.4028927,-71.5456435
Universidad de Ayacucho Federico Froebel,AYACUCHO,Huamanga,-13.1483883,-74.22870499999999
Universidad Peruana de Investigación y Negocios S.A.C.,LIMA,Lima,-12.0825755,-77.0462738
Universidad Peruana Austral del Cusco,CUSCO,Cusco,-13.5255413,-71.9515765
Universidad Autónoma San Francisco,AREQUIPA,Arequipa,-16.4007953,-71.53905809999999
Universidad San Andrés,LIMA,Lima,-11.9905165,-77.0598493
Universidad Interamericana para el Desarrollo,LIMA,Lima,-12.0563556,-77.04450589999999
Universidad Privada Juan Pablo II,LIMA,Lima,-12.0211306,-76.9037173
Universidad Privada Leonardo Da Vinci S.A.C. (*11),LA LIBERTAD,Trujillo,-8.1151,-79.03193999999999
Universidad de Ingeniería y Tecnología,LIMA,Lima,-12.1353732,-77.0220855
Universidad La Salle,AREQUIPA,Arequipa,-16.424163,-71.556192
Universidad Latinoamericana CIMA,TACNA,Tacna,-18.0155585,-70.242308
Universidad Privada Autónoma del Sur,AREQUIPA,Arequipa,-16.4084459,-71.5280816
Universidad María Auxiliadora,LIMA,Lima,-11.97818,-77.01687
Universidad Politécnica Amazónica S.A.C.,AMAZONAS,Utcubamba,-5.747067599999999,-78.44946809999999
Universidad Santo Domingo de Guzmán,LIMA,Huarochirí,-11.9113324,-76.982951
Universidad Marítima del Perú,CALLAO,Callao,-12.0614627,-77.1470315
Universidad Privada Líder Peruana,CUSCO,La Convención,-12.8604607,-72.6921444
Universidad Privada Peruano Alemana S.AC.,LIMA,Lima,-12.1661519,-77.0236628
Universidad Global del Cusco,CUSCO,Cusco,-13.5242195,-71.9436937
Universidad Santo Tomás de Aquino de Ciencia e Integración,JUNIN,Huancayo,-12.0840468,-75.20848769999999
Universidad Privada SISE,LIMA,Lima,-12.0776452,-77.0358547
Universidad Seminario Evangélico de Lima (*12),LIMA,Lima,-12.0639589,-76.96007399999999
Universidad Seminario Bíblico Andino (*12),LIMA,Lima,-12.0696208,-77.0533978
Universidad Católica San José,LIMA,Lima,-12.0836816,-77.0691681
