FOLIO,UNIDAD,TRIM,REG_MUE,SEXO,EDAD,LOCALI,MUN_NAC,PAI_NAC,VIE_UD,VIVE,RAZON,TRABAJA,NUM_PER,P1,P1_1,P1_2,P1_3,P2_GRA,P2_NIV,P3,P4,P4_1,P5,P5_1,P5_1_1,P6_PAI,P6_EST,P6_MUN,P6_LOC,P7C,P7T,P8,P8_1,P8_2,P8_3,P8_4C,P8_4D,P8_4U,P8_4T,P8_5,P8_6,P8_7,P8_8,P8_8_1,P8_9,P8_9_1,P8_10,P8_11,P8_11_1C,P8_11_1T,P8_12M,P8_12A,P8_13C,P8_13D,P8_13U,P8_13T,P8_14,P8_15,P8_16,P8_17,P9,P9_1,P9_1_1C,P9_1_1T,P9_1_2E,P9_1_2M,P9_1_2L,P10,P10_1,P10_2C,P10_2T,P10_2_1,P10_211C,P10_211U,P10_211T,P10_212,P10_213,P10_214,P10_215,P10_216C,P10_216U,P102161C,P102161U,P1021611,P10_217,P10_218,P11C,P11T,P11_1,P11_2,P11_2_1,P12C,P12U,P12_1,P13,P13_1,P13_2,P13_2_1,P13_3,P13_3_1C,P13_3_1E,P13_4C,P13_4T,P13_5,P13_6,P14,P14_1,P14_2,P15,P16,P16_1C,P16_1T,P17,P17_1C,P17_1U,P18,P19,P20C,P20T,P20_1C,P20_1E,P20_2,P20_2_1,P20_2_2,P20_3,P20_3_1,P20_3_2C,P20_3_2T,P20_3_3C,P20_3_3T,P20_3_4,P20_3_5,P20_3_6C,P20_3_6D,P20_3_6T,P20_3_7,P20_3_8,P20_3_9,P20_3_10,P20_3101,P20_3_11,P20_311A,P20_311B,P20_311C,P20_311D,P20_311E,P20_311F,P20_311G,P20_311H,P20_311I,P20_311J,P20_311K,P20_311L,P20_3_12,P20_3_13,P20_3131,P2031311,P20_3_14,P20_3_15,P20_3_16,P21,N8_5,N8_6,N8_14,N8_15,N10_212,N10_213,N20_3_7,N20_3_8,X8_5,X8_14,X10_212,X20_3_7,PONDERAD
2905,29306,1,4,1,29,1,9,5,5,2,5,0,7,2,3,1,0,1,2,2,1,0,4,1,1,1,5,35,1,0,4,1,0,9,7,150,0,2,3,11,4,14,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,92,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,4,60,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,6,0,0,0,334.52
2906,29306,1,4,1,18,1,10,9,9,2,5,0,4,2,1,0,0,1,3,1,2,2,4,3,3,1,9,10,2,0,4,1,0,8,6,120,0,2,3,9,1,4,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,1,1,125,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,6,0,0,0,167.26
2907,29306,1,4,1,32,1,1,1,1,2,5,0,7,2,3,3,0,0,1,2,1,0,6,2,1,1,1,7,1,0,4,1,0,12,6,150,0,2,3,12,5,9,1,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,1,4,80,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,6,0,0,0,334.52
2908,29306,1,4,1,19,2,33,5,5,2,5,0,7,2,2,0,1,3,3,1,2,2,6,3,3,1,5,33,2,0,4,1,0,6,5,15,0,2,2,7,5,1,2,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,4,30,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,91,10,3,2,2,0,0,2,2,1,5,31,32,2,0,0,1,1,1,4,3,2,6,7,25,0,2,7,5,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,750,0,0,0,0,0,7,7,4,0,0,0,0,7,4,5,0,0,5,334.52
2910,29306,1,4,1,28,1,7,1,1,2,5,0,3,2,2,0,0,5,2,2,1,0,3,1,1,1,1,7,1,0,4,1,0,6,6,100,0,2,3,7,4,1,2,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,4,80,2,1,1,1,2,3,2,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,5,0,0,0,111.51
2911,29306,1,4,1,19,1,6,1,1,2,5,0,7,2,2,0,0,3,3,1,2,4,5,2,2,1,1,7,1,6,3,2,1,10,6,200,0,2,3,11,5,9,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,92,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,1,4,100,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,91,10,1,2,2,0,0,2,2,6,4,53,34,1,1,1,1,2,6,3,4,3,9,6,200,0,3,7,5,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,800,400,1,3,2,3,1,11,4,0,0,0,0,7,4,6,0,0,5,334.52
2914,59306,1,4,1,26,2,17,5,5,2,5,0,34,1,0,0,0,6,2,1,2,3,8,5,5,1,5,17,2,0,4,1,0,8,6,150,0,2,3,11,6,3,1,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,93,1,4,1,96,2,3,10,6,4,1,400,2,0,0,0,0,0,6,4,3,1,1,100,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,85,1,2,1,1,300,3,2,2,1,5,12,45,1,1,1,1,2,1,4,7,3,12,6,130,0,3,18,5,13,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,600,0,0,0,0,0,2,11,4,0,0,10,4,19,4,6,0,6,4,640.95
2915,59306,1,4,1,32,1,34,32,32,2,7,2,4,1,0,0,0,6,2,2,1,0,7,1,1,1,32,34,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,93,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,98,2,1,1,1,1,4,1,3,5,6,2,1,1,8,88,1,93,10,1,2,2,0,0,1,1,1,5,3,5,1,1,1,1,1,1,4,1,4,8,5,6,0,1,10,5,5,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,4,1200,800,2,2,10,6,3,0,0,0,0,0,0,10,4,0,0,0,6,72.56
2916,59306,1,4,1,58,1,48,8,8,2,7,2,29,1,0,0,0,6,2,2,1,0,3,1,1,1,8,25,1,56,3,1,0,14,7,3,2,1,1,18,6,11,1,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,93,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,40,2,2,1,1,1,2,1,37,6,3,3,1,1,11,86,1,93,10,1,2,2,0,0,1,1,5,4,37,6,2,0,0,1,1,5,3,5,3,8,6,3,50,1,11,5,5,1,2,1,1,2,2,2,2,2,2,2,1,2,2,1,4,2000,700,2,5,6,6,2,18,4,0,0,0,0,11,4,4,0,0,6,256.23
2917,59306,1,4,1,33,1,38,32,32,2,7,2,5,2,1,0,0,2,4,1,2,2,8,5,5,1,32,38,1,0,4,1,0,8,6,27,0,2,3,11,5,5,1,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,300,2,2,1,1,1,4,1,11,45,6,3,2,2,1,0,0,89,10,1,2,1,300,3,2,2,3,5,11,45,1,1,1,1,1,3,4,3,4,8,5,280,0,3,11,5,5,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,4,1200,500,1,4,12,6,5,11,4,0,0,0,0,11,4,6,0,0,6,126.98
2918,59306,1,4,1,24,1,120,30,30,2,5,0,2,2,1,0,0,2,8,2,1,0,2,2,2,1,30,120,1,0,4,1,0,8,6,350,0,2,3,16,6,7,2,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,1,1,250,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,3,0,0,0,36.28
2919,59306,1,4,1,36,1,28,11,11,2,7,2,26,1,0,0,0,0,1,2,1,0,3,3,3,1,11,28,2,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,93,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,600,2,2,1,1,1,4,1,1,5,0,5,1,1,11,77,2,89,1,1,2,2,0,0,1,1,14,5,1,5,1,1,1,1,6,4,4,4,4,8,6,3,25,1,10,3,3,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,4,1500,100,1,2,99,6,5,0,0,0,0,0,0,10,2,0,0,0,6,339.48
2920,59306,1,4,1,31,1,40,8,8,2,5,0,72,1,0,0,0,5,2,1,2,2,8,8,8,1,8,40,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,93,200,0,2,3,12,6,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,2,0,70,2,2,1,1,2,99,1,28,32,0,5,1,2,2,71,2,72,10,1,2,2,0,0,2,2,6,4,18,45,1,1,1,1,3,4,3,4,3,8,6,6,0,1,11,5,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1400,150,2,3,8,6,1,0,0,12,4,0,0,11,4,0,6,0,6,495.83
2921,59306,1,4,1,29,1,13,8,10,2,7,2,67,1,0,0,0,1,4,1,2,2,7,3,3,1,8,13,1,15,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,93,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,30,2,1,1,1,1,4,1,27,1,5,3,1,1,11,88,2,93,10,5,1,2,0,0,1,1,2,4,27,1,2,0,0,1,1,2,3,2,3,8,7,5,0,1,12,5,3,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,4,1000,200,2,2,2,6,1,0,0,0,0,0,0,12,4,0,0,0,6,907
2922,59306,1,4,1,18,1,91,14,14,2,7,2,40,2,2,0,0,1,4,1,2,1,6,3,3,1,14,91,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,92,180,0,2,3,10,5,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,200,2,1,1,1,2,4,1,12,45,6,3,2,2,1,0,0,90,10,2,2,2,0,0,2,2,1,5,9,5,1,1,1,1,1,1,4,1,4,8,6,180,0,3,11,6,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,720,200,1,2,20,6,1,0,0,10,4,0,0,11,4,0,6,0,6,725.6
2924,59306,1,4,2,21,1,24,10,10,2,5,0,40,2,2,0,1,3,3,1,2,2,8,3,3,1,10,5,2,15,3,1,0,8,5,114,0,2,3,16,6,7,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,1,4,230,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,3,0,0,0,686.3
2925,59306,1,4,1,31,1,35,5,8,2,5,0,5,1,0,0,0,3,3,2,1,0,5,1,1,1,5,35,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,3,92,180,0,2,3,18,6,4,1,1,0,0,0,0,0,0,2,92,3,3,1,115,2,3,10,5,4,1,460,2,200,2,2,2,4,6,4,3,2,0,100,2,1,1,1,2,4,1,17,45,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,10,4,0,0,0,4,6,0,238.41
2926,59306,1,4,1,30,1,17,8,8,2,7,2,10,1,0,0,0,6,2,2,1,0,3,1,1,1,8,17,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,93,120,0,2,3,7,5,1,1,1,0,0,0,0,0,0,2,92,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,20,2,2,1,1,2,3,2,0,0,0,5,1,1,11,82,2,93,10,1,2,2,0,0,1,1,3,4,31,32,2,0,0,1,1,3,3,3,3,10,7,4,25,1,18,6,11,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,4,1000,500,2,2,2,6,5,0,0,7,4,0,0,18,4,0,5,0,4,341.03
2927,59306,1,4,1,21,2,20,32,32,2,7,2,31,1,0,0,0,3,3,1,2,2,3,3,3,1,32,20,2,0,4,1,0,8,5,0,0,0,0,7,3,1,3,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,300,2,2,1,1,1,3,1,37,6,3,3,1,1,4,87,1,92,25,2,1,2,0,0,1,1,1,5,49,10,1,1,1,1,2,1,4,6,3,10,5,300,0,3,11,6,5,1,2,1,1,1,2,2,1,2,1,2,1,1,1,1,4,1200,600,2,2,8,6,3,7,2,0,0,0,0,11,4,5,0,0,6,526.06
2928,59306,1,4,1,21,1,26,8,8,2,7,2,14,1,0,0,0,6,2,1,2,2,3,3,3,1,8,26,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,93,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,60,2,1,1,1,1,2,1,30,32,1,4,1,1,2,90,2,92,10,2,2,2,0,0,1,1,1,5,30,32,1,1,1,1,1,1,4,1,4,12,6,6,0,1,18,6,11,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,4,1000,0,0,0,0,0,3,0,0,0,0,0,0,18,4,0,0,0,4,555.08
2929,59306,1,4,1,29,1,28,11,11,2,7,2,1,2,1,0,1,4,2,3,1,0,3,1,1,2,5,1,9,14,3,1,0,8,6,10,0,3,2,7,6,1,1,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,300,2,2,1,1,1,4,1,1,5,0,6,1,1,1,0,0,93,10,1,1,2,0,0,1,1,1,5,1,5,1,1,1,1,1,1,4,1,4,9,5,200,0,3,11,3,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1000,0,0,0,0,0,2,7,4,0,0,0,0,11,2,5,0,0,6,317.45
2930,59306,1,4,1,31,1,40,8,8,2,5,0,2,2,1,0,0,3,2,1,2,2,8,4,4,1,8,40,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,93,110,0,2,2,11,3,3,2,1,0,0,0,0,0,0,2,93,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,1,4,70,2,2,2,0,0,0,0,0,0,0,0,0,0,3,84,2,93,9,2,1,2,0,0,2,2,4,4,28,32,1,1,1,1,1,1,3,1,3,8,5,5,0,1,7,6,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1200,0,0,0,0,0,1,0,0,11,2,0,0,7,4,0,6,0,5,393.03
2931,59306,1,4,1,52,1,52,8,8,2,7,2,14,2,1,0,0,3,2,2,1,0,3,1,1,1,8,19,2,30,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,93,25,0,2,2,7,6,1,2,1,0,0,0,0,0,0,2,93,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,55,2,1,1,1,2,3,1,31,32,2,3,2,2,4,93,2,93,10,2,1,2,0,0,2,2,2,4,31,32,2,0,0,1,1,2,3,2,3,8,5,4,75,1,7,6,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,400,400,4,3,7,6,1,0,0,7,4,0,0,7,4,0,5,0,5,621.3
