cod_mod,ltimoden_metaatencion,cuentadeid_postulante_procesoadm,sumaden_flagingresante,sumaden_flagmatriculado,ratio,ratio1,dif,dif1,nlat_ie,nlong_ie,population_ccpp,altitude,Dblock1km,Dblock2km,Dblock3km,Dblock5km,Dblock10km,Dblock20km,Dblock30km,_merge
886564,542,116,107,105,.19372694,.21402214,-437,-426,-14.06224,-75.73125,124789,417,15440787,772393,514262,308157,154078,7739,5126,matched (3)
886572,60,0,0,0,0,0,-60,-60,-14.07306,-75.72703,124789,30,15450786,772393,515262,309157,154078,7739,5126,matched (3)
891770,440,285,270,248,.56363636,.64772725,-192,-155,-16.60199,-72.70256000000001,692,37,18250450,912225,608150,365090,182045,9122,6015,matched (3)
891952,110,139,110,107,.9727273,1.2636364,-3,29,-16.38784,-71.54900000000001,74766,2366,18010321,900160,600107,360064,180032,9016,6010,matched (3)
892109,467,180,159,159,.34047109,.38543898,-308,-287,-16.39935,-71.52288,61519,2397,18020318,901159,600106,360063,180031,9015,6010,matched (3)
898429,90,76,72,71,.78888887,.84444445,-19,-14,-15.77308,-73.36253000000001,3708,1758,17330523,866261,577174,346104,173052,8626,5717,matched (3)
920207,930,762,519,514,.55268818,.81935483,-416,-168,-12.06796,-75.21005,,,13230729,661364,441243,264145,132072,6636,4424,matched (3)
920231,150,92,74,74,.49333334,.61333334,-76,-58,-12.04845,-75.20177,139380,3295,13210728,660364,440242,264145,132072,6636,4424,matched (3)
920264,120,100,93,90,.75,.83333331,-30,-20,-12.06796,-75.21005,110303,3256,13230729,661364,441243,264145,132072,6636,4424,matched (3)
920298,300,57,57,55,.18333334,.19,-245,-243,-12.0644,-75.21445,139380,3253,13230729,661364,441243,264145,132072,6636,4424,matched (3)
920322,560,450,362,322,.57499999,.8035714,-238,-110,-12.05921,-75.22029000000001,139380,3255,13220730,661365,440243,264146,132073,6636,4424,matched (3)
920330,600,232,210,184,.30666667,.38666666,-416,-368,-12.06796,-75.21005,,,13230729,661364,441243,264145,132072,6636,4424,matched (3)
920363,150,159,131,125,.83333331,1.0599999,-25,9,-12.05417,-75.22092000000001,139380,3265,13220730,661365,440243,264146,132073,6636,4424,matched (3)
920421,180,110,95,75,.41666666,.6111111,-105,-70,-12.06087,-75.21489,139380,3261,13230729,661364,441243,264145,132072,6636,4424,matched (3)
920454,90,46,46,44,.48888889,.51111114,-46,-44,-12.06304,-75.21519000000001,139380,3258,13230729,661364,441243,264145,132072,6636,4424,matched (3)
926840,287,293,252,252,.87804878,1.020906,-35,6,-5.75167,-78.44438,25930,437,6251089,312544,208363,125217,62108,3154,2036,matched (3)
926865,130,193,130,128,.98461539,1.4846153,-2,63,-5.14397,-78.99681,11266,1254,5581150,279575,186383,111230,55115,2757,1838,matched (3)
928655,322,342,290,284,.88198757,1.0621119,-38,20,-13.51273,-71.97511,106400,3461,14830369,741184,494123,296073,148036,7418,4912,matched (3)
928846,210,221,204,204,.97142857,1.0523809,-6,11,-13.63684,-72.88091,45864,2388,14970469,748234,499156,299093,149046,7423,4915,matched (3)
930057,90,146,90,90,1,1.6222222,0,56,-14.28821,-73.2581,0,1723,15690511,784255,523170,313102,156051,7825,5217,matched (3)
931014,190,282,190,185,.97368419,1.4842105,-5,92,-13.2565,-71.62390000000001,552,2828,14550330,727165,485110,291066,145033,7216,4811,matched (3)
931519,240,244,199,199,.82916665,1.0166667,-41,4,-14.27621,-71.22353,41352,3554,15680285,784142,522095,313057,156028,7814,5209,matched (3)
931550,644,364,324,315,.48913044,.56521738,-329,-280,-14.79923,-71.41132,23867,346,16250306,812153,541102,325061,162030,8115,5410,matched (3)
932368,150,373,143,143,.95333332,2.4866667,-7,223,-13.94416,-72.1756,3154,3838,15310391,765195,510130,306078,153039,7619,5113,matched (3)
932392,150,206,119,119,.79333335,1.3733333,-31,56,-13.8398,-72.4301,1025,3142,15190419,759209,506139,303083,151041,7520,5013,matched (3)
932475,91,110,82,82,.90109891,1.2087913,-9,19,-13.9217,-71.6845,2154,3211,15280336,764168,509112,305067,152033,7616,5011,matched (3)
933168,555,349,316,260,.46846846,.62882882,-295,-206,-13.51953,-71.98321,106400,3422,14840370,742185,494123,296074,148037,7418,4912,matched (3)
933218,137,209,137,137,1,1.5255475,0,72,-12.85686,-72.69482000000001,26573,1034,14110449,705224,470149,282089,141044,7022,4714,matched (3)
933242,740,476,464,464,.62702703,.64324325,-276,-264,-12.8665,-72.68892,26573,1033,14120448,706224,470149,282089,141044,7022,4714,matched (3)
933622,727,706,639,639,.87895459,.97111416,-88,-21,-13.53143,-71.93196,89648,3290,14850364,742182,495121,297072,148036,7418,4912,matched (3)
933788,98,138,98,94,.95918369,1.4081633,-4,40,-13.8197,-71.54859999999999,0,3205,15170321,758160,505107,303064,151032,7516,5010,matched (3)
934158,500,510,390,383,.76599997,1.02,-117,10,-13.52528,-71.95493,59134,3345,14850366,742183,495122,297073,148036,7418,4912,matched (3)
1000694,30,38,30,30,1,1.2666667,0,8,-9.1304,-78.50703,112254,48,9991096,499548,333365,199219,99109,4954,3336,matched (3)
1016328,100,191,97,97,.97000003,1.91,-3,91,-5.2407,-79.4502,6852,1890,5681201,284600,189400,113240,56120,2860,1840,matched (3)
1025683,270,331,260,258,.95555556,1.2259259,-12,61,-15.19937,-69.76868,114,3849,16700123,835061,556041,334024,167012,8306,5504,matched (3)
1027093,30,0,0,0,0,0,-30,-30,-16.08824,-69.63882,0,3860,17680109,884054,589036,353021,176010,8805,5803,matched (3)
1027473,155,119,104,84,.5419355,.76774192,-71,-36,-15.49004,-70.12688,0,3831,17020163,851081,567054,340032,170016,8508,5605,matched (3)
1027564,90,130,90,90,1,1.4444444,0,40,-15.3635,-69.4936,4262,3842,16880092,844046,562030,337018,168009,8404,5603,matched (3)
1027754,180,237,163,162,.89999998,1.3166667,-18,57,-16.20651,-69.46038,8157,3840,17810089,890044,593029,356017,178008,8904,5902,matched (3)
1029305,870,246,236,231,.26551723,.28275862,-639,-624,-16.24867,-69.09839,11934,3830,17860048,893024,595016,357009,178004,8902,5901,matched (3)
1029313,180,22,21,21,.11666667,.12222222,-159,-158,-16.24427,-69.09257,11934,3845,17850048,892024,595016,357009,178004,8902,5901,matched (3)
1029909,250,141,120,118,.472,.56400001,-132,-109,-15.83865,-70.02428000000001,0,3831,17400151,870075,580050,348030,174015,8707,5805,matched (3)
1041961,220,166,149,142,.64545453,.75454545,-78,-54,-9.04599,-77.80868,13330,2264,9891018,494509,329339,197203,98101,4950,3233,matched (3)
1061498,164,166,120,120,.73170733,1.0121951,-44,2,-14.0374,-71.5731,3563,3696,15410324,770162,513108,308064,154032,7716,5110,matched (3)
1065374,200,227,186,186,.93000001,1.135,-14,27,-13.0833,-76.3892,26730,24,14360860,718430,478286,287172,143086,7143,4728,matched (3)
1065416,270,310,257,252,.93333334,1.1481482,-18,40,-12.05721,-77.07199,299493,88,13220936,661468,440312,264187,132093,6646,4431,matched (3)
1066216,716,436,426,361,.50418997,.60893857,-355,-280,-12.05871,-77.04595999999999,81909,127,13220933,661466,440311,264186,132093,6646,4431,matched (3)
1066414,963,158,156,136,.14122534,.16407061,-827,-805,-12.0653,-77.03665,81909,136,13230932,661466,441310,264186,132093,6646,4431,matched (3)
1067057,1053,980,923,865,.82146251,.93067425,-188,-73,-12.07673,-77.04389999999999,66171,115,13240933,662466,441311,264186,132093,6646,4431,matched (3)
1067131,549,109,101,101,.18397085,.1985428,-448,-440,-12.07691,-77.03529,299493,3397,13240932,662466,441310,264186,132093,6646,4431,matched (3)
1078880,176,184,162,162,.92045456,1.0454545,-14,8,-8.4465,-76.46169999999999,6841,544,9230868,461434,307289,184173,92086,4643,3028,matched (3)
1093152,240,241,208,208,.86666667,1.0041667,-32,1,-14.82383,-74.93259999999999,21993,599,16280698,814349,542232,325139,162069,8134,5423,matched (3)
1096924,173,272,173,171,.98843932,1.5722543,-2,99,-6.91515,-76.33224,5860,228,7540854,377427,251284,150170,75085,3742,2528,matched (3)
1101716,260,164,145,145,.55769229,.63076925,-115,-96,-9.16349,-77.36660999999999,2082,3362,10020969,501484,334323,200193,100096,5048,3332,matched (3)
1112044,420,430,384,366,.87142855,1.0238096,-54,10,-9.929550000000001,-76.23965,71707,1899,10870843,543421,362281,217168,108084,5442,3628,matched (3)
1113224,532,343,317,308,.57894737,.64473683,-224,-189,-6.67954,-78.51915,15632,2532,7281097,364548,242365,145219,72109,3654,2436,matched (3)
1114081,1392,776,669,509,.36566091,.55747128,-883,-616,-12.06415,-77.10044000000001,129107,48,13230939,661469,441313,264187,132093,6646,4431,matched (3)
1114131,830,76,62,62,.074698798,.091566265,-768,-754,-12.09069,-77.03816000000001,55242,108,13260932,663466,442310,265186,132093,6646,4431,matched (3)
1114362,1017,500,418,417,.4100295,.49164209,-600,-517,-11.97355,-77.00792,898443,243,13130929,656464,437309,262185,131092,6546,4330,matched (3)
1114404,1112,436,406,394,.35431653,.39208633,-718,-676,-11.92636,-77.05503,486977,130,13080934,654467,436311,261186,130093,6546,4331,matched (3)
1114446,210,108,87,87,.41428572,.51428574,-123,-102,-11.95373,-77.05768000000001,486977,94,13110934,655467,437311,262186,131093,6546,4331,matched (3)
1114644,684,125,114,113,.16520467,.18274854,-571,-559,-11.97857,-77.0763,318140,60,13140937,657468,438312,262187,131093,6546,4331,matched (3)
1114735,360,93,77,77,.21388888,.25833333,-283,-267,-12.0095,-77.00905,898443,214,13170929,658464,439309,263185,131092,6546,4330,matched (3)
1115088,120,0,0,0,0,0,-120,-120,-12.08973,-77.01833000000001,,,13260930,663465,442310,265186,132093,6646,4431,matched (3)
1115120,390,257,117,29,.074358977,.65897435,-361,-133,-12.11111,-76.87488999999999,67553,371,13280914,664457,442304,265182,132091,6645,4430,matched (3)
1115138,300,69,63,63,.20999999,.23,-237,-231,-12.09646,-76.77598999999999,132498,354,13270903,663451,442301,265180,132090,6645,4430,matched (3)
1115245,481,309,281,230,.47817048,.64241165,-251,-172,-12.21321,-76.93709,381790,174,13390921,669460,446307,267184,133092,6646,4430,matched (3)
1115328,600,360,309,288,.47999999,.60000002,-312,-240,-12.21856,-76.93808,381790,154,13400921,670460,446307,268184,134092,6746,4430,matched (3)
1116136,170,196,152,152,.89411765,1.1529412,-18,26,-17.02406,-72.00455,105,85,18710372,935186,623124,374074,187037,9318,6212,matched (3)
1122993,60,0,0,0,0,0,-60,-60,-12.05871,-77.04595999999999,,,13220933,661466,440311,264186,132093,6646,4431,matched (3)
1123249,1068,264,236,182,.17041199,.24719101,-886,-804,-12.01393,-77.07534,579561,69,13170936,658468,439312,263187,131093,6546,4331,matched (3)
1123397,649,409,321,305,.46995378,.63020033,-344,-240,-11.86678,-77.07771,233602,186,13010937,650468,433312,260187,130093,6546,4331,matched (3)
1123488,630,241,233,205,.32539684,.38253969,-425,-389,-12.06794,-76.98795,478278,210,13230927,661463,441309,264185,132092,6646,4430,matched (3)
1124247,750,330,295,222,.296,.44,-528,-420,-12.01667,-77.00467999999999,898443,211,13180929,659464,439309,263185,131092,6546,4330,matched (3)
1124270,255,76,76,0,0,.29803923,-255,-179,-13.07775,-76.38743,26730,42,14350860,717430,478286,287172,143086,7143,4728,matched (3)
1124395,282,124,96,86,.30496454,.43971631,-196,-158,-12.65776,-76.63236000000001,,,13890887,694443,463295,277177,138088,6944,4629,matched (3)
1124635,289,227,191,109,.37716264,.78546715,-180,-62,-11.49541,-77.20719,,,12600951,630475,420317,252190,126095,6347,4231,matched (3)
1124726,560,336,269,268,.47857141,.60000002,-292,-224,-12.04174,-76.93053000000001,478278,318,13200920,660460,440306,264184,132092,6646,4430,matched (3)
1125079,60,19,19,19,.31666666,.31666666,-41,-41,-12.02962,-77.00997,,,13190929,659464,439309,263185,131092,6546,4330,matched (3)
1125111,60,42,38,38,.63333333,.69999999,-22,-18,-13.07775,-76.38743,26730,42,14350860,717430,478286,287172,143086,7143,4728,matched (3)
1125764,313,223,199,199,.63578272,.71246004,-114,-90,-18.01777,-70.25185000000001,86095,566,19810177,990088,660059,396035,198017,9908,6605,matched (3)
1135292,300,236,221,219,.73000002,.78666669,-81,-64,-7.15737,-78.51537,150197,2719,7801097,390548,260365,156219,78109,3954,2636,matched (3)
1140102,60,0,0,0,0,0,-60,-60,-13.1592,-74.22828,,,14440619,722309,481206,288123,144061,7230,4820,matched (3)
1140144,770,394,364,364,.47272727,.51168829,-406,-376,-13.15878,-74.22736999999999,97390,2764,14440619,722309,481206,288123,144061,7230,4820,matched (3)
1141167,270,14,14,10,.037037037,.05185185,-260,-256,-13.70938,-76.20868,50477,15,15050840,752420,501280,301168,150084,7542,5028,matched (3)
1141795,150,222,146,145,.96666664,1.48,-5,72,-13.68212,-76.16076,18849,66,15020835,751417,500278,300167,150083,7541,5027,matched (3)
1148485,214,197,194,187,.87383175,.92056078,-27,-17,-3.74177,-73.25091999999999,155029,94,4030511,201255,134170,80102,40051,2025,1317,matched (3)
1150739,150,229,150,150,1,1.5266666,0,79,-4.83014,-76.5517,6532,4196,5230878,261439,174292,104175,52087,2643,1729,matched (3)
1154210,600,214,213,161,.26833335,.35666665,-439,-386,-15.49249,-70.1284,216716,3833,17020163,851081,567054,340032,170016,8508,5605,matched (3)
1157916,257,228,214,213,.82879376,.88715953,-44,-29,-6.6459,-79.7856,31777,41,7241238,362619,241412,144247,72123,3661,2441,matched (3)
1158187,30,30,30,30,1,1,0,0,-6.50623,-79.85809,,,7081246,354623,236415,141249,70124,3562,2341,matched (3)
1158294,624,280,241,238,.38141027,.44871795,-386,-344,-6.7715,-79.83866,260794,35,7381244,369622,246414,147248,73124,3662,2441,matched (3)
1158484,420,309,298,290,.69047618,.73571426,-130,-111,-6.77233,-79.83116,260794,33,7381243,369621,246414,147248,73124,3662,2441,matched (3)
1160191,342,394,314,311,.90935671,1.1520468,-31,52,-10.3007,-74.9449,3243,251,11280699,564349,376233,225139,112069,5634,3723,matched (3)
1164177,80,48,48,35,.4375,.60000002,-45,-32,-7.84955,-79.14462,,,8571167,428583,285389,171233,85116,4258,2838,matched (3)
1164698,110,22,22,22,.2,.2,-88,-88,-7.79007,-79.22205,4910,108,8501175,425587,283391,170235,85117,4258,2839,matched (3)
1165265,150,145,135,135,.89999998,.96666664,-15,-5,-8.14315,-78.17375,5881,3104,8891059,444529,296353,177211,88105,4452,2935,matched (3)
1167006,208,74,10,10,.048076924,.35576922,-198,-134,-7.90226,-78.56625,,,8631102,431551,287367,172220,86110,4355,2836,matched (3)
1174424,90,130,90,90,1,1.4444444,0,40,-8.11528,-79.02495999999999,294730,37,8861153,443576,295384,177230,88115,4457,2938,matched (3)
1174465,240,248,1,1,.0041666669,1.0333333,-239,8,-8.124090000000001,-79.02226,,,8871153,443576,295384,177230,88115,4457,2938,matched (3)
1174507,450,308,307,307,.68222225,.68444443,-143,-142,-8.11665,-79.02464999999999,294730,32,8861153,443576,295384,177230,88115,4457,2938,matched (3)
1174580,240,96,82,82,.34166667,.40000001,-158,-144,-8.11863,-79.02392999999999,294730,30,8871153,443576,295384,177230,88115,4457,2938,matched (3)
1175447,200,0,0,0,0,0,-200,-200,-8.103770000000001,-79.03546,,,8851155,442577,295385,177231,88115,4457,2938,matched (3)
1176551,162,43,36,36,.22222222,.26543209,-126,-119,-8.11176,-79.02869,294730,37,8861154,443577,295384,177230,88115,4457,2938,matched (3)
1180769,70,113,70,66,.94285715,1.6142857,-4,43,-4.6332,-79.71489,6047,2742,5011230,250615,167410,100246,50123,2561,1641,matched (3)
1192293,120,23,10,10,.083333336,.19166666,-110,-97,-12.11074,-76.97906999999999,289597,85,13280926,664463,442308,265185,132092,6646,4430,matched (3)
1192830,300,304,242,242,.80666667,1.0133333,-58,4,-12.01212,-77.10460999999999,415888,31,13170940,658470,439313,263188,131094,6547,4331,matched (3)
1192954,480,285,267,264,.55000001,.59375,-216,-195,-12.07409,-77.16323,4370,6,13240946,662473,441315,264189,132094,6647,4431,matched (3)
1193259,345,636,344,343,.99420291,1.8434782,-2,291,-7.34123,-75.00797,15036,162,8010706,400353,267235,160141,80070,4035,2623,matched (3)
1196336,390,141,137,136,.34871796,.36153847,-254,-249,-6.85507,-79.30732,5518,201,7471185,373592,249395,149237,74118,3759,2439,matched (3)
1198019,417,418,329,307,.736211,1.0023981,-110,1,-12.94183,-74.25020000000001,26026,1063,14200622,710311,473207,284124,142062,7131,4720,matched (3)
