,N°,UNIVERSIDAD,DEPARTAMENTO,PROVINCIA,DISPOSITIVO LEGAL DE CREACIÓN,FECHA DE CREACIÓN,DISPOSITIVO LEGAL DE LICENCIAMIENTO,FECHA DE PUB. DIARIO EL PERUANO,TIPO,DISPOSITIVO LEGAL DE LICENCIAMIENTO O DENEGATORIA,CONDICIÓN JURÍDICA
27,28,Universidad Nacional de Huancavelica,Huancavelica,Huancavelica,Ley N° 25265,20/06/1990,Res. N° 086-2019-SUNEDU/CD,03/07/2019,Universidad publica,,
28,29,Universidad Nacional Amazónica de Madre de Dios,Madre De Dios,Tambopata,Ley N° 27297,06/07/2000,,,Universidad publica,,
29,30,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Chachapoyas,Ley N° 27347,19/09/2000,Res. N° 033-2017-SUNEDU/CD,17/09/2017,Universidad publica,,
30,31,Universidad Nacional Micaela Bastidas de Apurímac,Apurímac,Abancay,Ley N° 27348,27/09/2000,,,Universidad publica,,
31,32,Universidad Nacional Intercultural de la Amazonía,Ucayali,Coronel Portillo,Ley N° 27250,05/01/2000,Res. N° 131-2018-SUNEDU/CD,27/09/2018,Universidad publica,,
32,33,Universidad Nacional Tecnológica de Lima Sur (*1),Lima,Lima,Ley N° 27413,01/02/2001,Res. N° 059-2018-SUNEDU/CD,21/06/2018,Universidad publica,,
33,34,Universidad Nacional José María Arguedas,Apurímac,Andahuaylas,Ley N° 28372,01/11/2004,Res. N° 035-2017-SUNEDU/CD,02/10/2017,Universidad publica,,
34,35,Universidad Nacional de Moquegua,Moquegua,Mariscal Nieto,Ley N° 28520,24/05/2005,Res. N° 103-2017-SUNEDU/CD,06/01/2018,Universidad publica,,
35,36,Universidad Nacional de Juliaca,Puno,San Román,Ley N° 29074,25/07/2007,Res. N° 097-2018-SUNEDU/CD,26/08/2018,Universidad publica,,
36,37,Universidad Nacional de Jaén,Cajamarca,Jaén,Ley N° 29304,20/12/2008,Res. N° 002-2018-SUNEDU/CD,14/01/2018,Universidad publica,,
37,38,Universidad Nacional de Frontera,Piura,Sullana,Ley N° 29568,06/08/2010,Res. N° 086-2019-SUNEDU/CD,06/04/2019,Universidad publica,,
38,39,Universidad Nacional Autónoma de Chota,Cajamarca,Chota,Ley N° 29531,12/05/2010,Res. N° 160-2018-SUNEDU/CD,08/12/2018,Universidad publica,,
39,40,Universidad Nacional de Barranca,Lima,Barranca,Ley N° 29553,07/07/2010,Res. N° 047-2018-SUNEDU/CD,24/05/2018,Universidad publica,,
40,41,Universidad Nacional de Cañete,Lima,Cañete,Ley N° 29488,23/12/2009,Res. N° 116-2018-SUNEDU/CD,12/09/2018,Universidad publica,,
41,42,Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua,Amazonas,Bagua,Ley N° 29614,18/11/2010,Res. N° 095-2018-SUNEDU/CD,"14,/08/018",Universidad publica,,
42,43,Universidad Nacional Intercultural de la Selva Central Juan Santos Atahualpa,Junín,Chanchamayo,Ley N° 29616,19/11/2010,Res. N° 033-2018-SUNEDU/CD,23/03/2018,Universidad publica,,
43,44,Universidad Nacional Intercultural de Quillabamba,Cusco,La Convención,Ley N° 29620,01/12/2010,Res. N° 085-2019-SUNEDU/CD,02/07/2019,Universidad publica,,
44,45,Universidad Nacional Autónoma de Alto Amazonas,Loreto,Alto Amazonas,Ley N° 29649,11/01/2011,Res. N° 062-2018-SUNEDU/CD,29/06/2018,Universidad publica,,
45,46,Universidad Nacional Autónoma Altoandina de Tarma,Junín,Tarma,Ley N° 29652,14/01/2011,Res. N° 142-2018-SUNEDU/CD,19/10/2018,Universidad publica,,
46,47,Universidad Nacional Autónoma de Huanta,Ayacucho,Huanta,Ley N° 29658,28/01/2011,Res. N° 014-2017-SUNEDU/CD,19/04/2017,Universidad publica,,
47,48,Universidad Nacional Tecnológica de San Juan de Lurigancho,Lima,Lima,Ley N° 29659,28/01/2011,,,Universidad publica,,
48,49,Universidad Autónoma Municipal de Los Olivos,Lima,Lima,Ley N° 29668,10/03/2011,,,Universidad publica,,
49,50,Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,Huancavelica,Tayacaja,Ley N° 29716,23/06/2011,Res. N° 016-2019-SUNEDU/CD,15/02/2019,Universidad publica,,
50,51,Universidad Nacional Ciro Alegría,La Libertad,Sanchez Carrión,Ley N° 29756,17/07/2011,,,Universidad publica,,
0,1,Pontificia Universidad Católica del Perú,Lima,Lima,Decreto Supremo,24/03/1917,,06/07/2016,Universidad privada,Res. N° 025-2016-SUNEDU/CD,Asociativa
1,2,Universidad Peruana Cayetano Heredia,Lima,Lima,Decreto Supremo N° 18,22/09/1961,,27/07/2016,Universidad privada,Res. N° 029-2016-SUNEDU/CD,Asociativa
2,3,Universidad Católica de Santa María,Arequipa,Arequipa,Decreto Supremo N° 24,06/12/1961,,31/12/2017,Universidad privada,Res. N° 102-2017-SUNEDU/CD,Asociativa
3,4,Universidad del Pacífico,Lima,Lima,Decreto Supremo N° 08,28/02/1962,,27/07/2016,Universidad privada,Res. N° 030-2016-SUNEDU/CD,Asociativa
4,5,Universidad de Lima,Lima,Lima,Decreto Supremo N° 23,25/04/1962,,12/07/2016,Universidad privada,Res. N° 027-2016-SUNEDU/CD,Asociativa
5,6,Universidad de San Martín de Porres,Lima,Lima,Decreto Supremo N° 26,17/05/1962,,11/08/2017,Universidad privada,Res. N° 024-2017-SUNEDU/CD,Asociativa
6,7,Universidad Femenina del Sagrado Corazón,Lima,Lima,Decreto Supremo N° 71,24/12/1962,,15/12/2016,Universidad privada,Res. N° 039-2016-SUNEDU/CD,Asociativa
7,8,Universidad Inca Garcilaso de la Vega,Lima,Lima,Decreto Supremo N° 74,21/12/1964,,,Universidad privada,,Asociativa
8,9,Universidad de Piura,Piura,Piura,Ley N° 17040,02/06/1968,,27/01/2017,Universidad privada,Res. N° 003-2017-SUNEDU/CD,Asociativa
9,10,Universidad Ricardo Palma,Lima,Lima,Decreto Ley N° 17723,01/07/1969,,31/12/2016,Universidad privada,Res. N° 040-2016-SUNEDU/CD,Asociativa
10,11,Universidad Andina Néstor Cáceres Velásquez,Puno,San Román,Ley N° 23738,29/12/1983,,,Universidad privada,,Asociativa
11,12,Universidad Peruana Los Andes,Junín,Huancayo,Ley N° 23757,30/12/1983,,,Universidad privada,,Asociativa
12,13,Universidad Peruana Unión,Lima,Lima,Ley N° 23758,30/12/1983,,07/06/2018,Universidad privada,Res. N° 054-2018-SUNEDU/CD,Asociativa
13,14,Universidad Andina del Cusco,Cusco,Cusco,Ley N° 23837,23/05/1984,,23/12/2017,Universidad privada,Res. N° 098-2017-SUNEDU/CD,Asociativa
14,15,Universidad Tecnológica de los Andes,Apurímac,Abancay,Ley N° 23852,07/06/1984,,,Universidad privada,,Asociativa
15,16,Universidad Privada de Tacna,Tacna,Tacna,Ley N° 24060,09/01/1985,,30/11/2017,Universidad privada,Res. N° 074-2017-SUNEDU/CD,Asociativa
16,17,Universidad Particular de Chiclayo,Lambayeque,Chiclayo,Ley N° 24086,11/01/1985,,25/07/2019,Universidad privada,Res. N° 098-2019-SUNEDU/CD,Asociativa
17,18,Universidad San Pedro (*1),Ancash,Santa,Ley N° 24871,25/06/1988,,,Universidad privada,,Asociativa
18,19,Universidad Privada Antenor Orrego,La Libertad,Trujillo,Ley N° 24879,27/07/1988,,29/03/2018,Universidad privada,Res. N° 035-2018-SUNEDU/CD,Asociativa
19,20,Universidad de Huánuco,Huánuco,Huánuco,Ley N° 25049,20/06/1989,,06/06/2019,Universidad privada,Res. N° 076-2019-SUNEDU/CD,Asociativa
20,21,Universidad José Carlos Mariátegui (*2),Moquegua,Mariscal Nieto,Ley N° 25153,24/12/1989,,,Universidad privada,,Asociativa
21,22,Universidad Marcelino Champagnat,Lima,Lima,Ley N° 25180,05/01/1990,,12/10/2017,Universidad privada,Res. N° 041-2017-SUNEDU/CD,Asociativa
22,23,Universidad Científica del Perú (*3),Loreto,Maynas,Ley N° 25213,29/05/1990,,,Universidad privada,,Asociativa
23,24,Universidad César Vallejo S.A.C.,La Libertad,Trujillo,Ley N° 25350,12/11/1991,,12/06/2019,Universidad privada,Res. N° 077-2019-SUNEDU/CD,Societaria
24,25,Universidad Católica Los Ángeles de Chimbote (*4),Ancash,Santa,Ley N° 24163,10/06/1985,,,Universidad privada,,Asociativa
25,26,Universidad Peruana de Ciencias Aplicadas S.A.C.,Lima,Lima,Ley N° 26276,03/01/1994,,06/10/2017,Universidad privada,Res. N° 037-2017-SUNEDU/CD,Societaria
26,27,Universidad Privada del Norte S.A.C.,La Libertad,Trujillo,Ley N° 26275,03/01/1994,,11/11/2017,Universidad privada,Res. N° 062-2017-SUNEDU/CD,Societaria
27,28,Universidad San Ignacio de Loyola S.A.,Lima,Lima,Res. N° 060-95-CONAFU,07/12/1995,,08/10/2017,Universidad privada,Res. N° 039-2017-SUNEDU/CD,Societaria
28,29,Universidad Alas Peruanas,Lima,Lima,Res. N° 102-96-CONAFU,26/04/1996,,,Universidad privada,,Societaria
29,30,Universidad Privada Norbert Wiener,Lima,Lima,Res. N° 177-96-CONAFU,09/12/1996,,,Universidad privada,,Societaria
30,31,Universidad Católica San Pablo,Arequipa,Arequipa,Res. N° 190-97-CONAFU,10/01/1997,,22/10/2017,Universidad privada,Res. N° 042-2017-SUNEDU/CD,Asociativa
31,32,Grupo Educativo Universidad Privada de Ica S.A.C. (*5 *13),Ica,Ica,Res. N° 222-97-CONAFU,19/03/1997,,,Universidad privada,,Societaria
32,33,Universidad Privada San Juan Bautista S.A.C. (*6),Lima,Lima,Res. N° 224-97-CONAFU,19/03/1997,,,Universidad privada,,Societaria
33,34,Universidad Tecnológica del Perú,Lima,Lima,Res. N° 278-97-CONAFU,08/09/1997,,13/06/2019,Universidad privada,Res. N° 081-2019-SUNEDU/CD,Societaria
34,35,Universidad Continental S.A.C. (*7),Junín,Huancayo,Res. N° 429-98-CONAFU,30/06/1998,,11/08/2018,Universidad privada,Res. N° 094-2018-SUNEDU/CD,Societaria
35,36,Universidad Científica del Sur S.A.C.,Lima,Lima,Res. N° 356-98-CONAFU,05/02/1998,,02/05/2018,Universidad privada,Res. N° 039-2018-SUNEDU/CD,Societaria
36,37,Universidad Católica Santo Toribio de Mogrovejo,Lambayeque,Chiclayo,Res. N° 474-98-CONAFU,14/10/1998,,22/03/2018,Universidad privada,Res. N° 031-2018-SUNEDU/CD,Asociativa
37,38,Universidad Privada Antonio Guillermo Urrelo,Cajamarca,Cajamarca,Res. N° 490-98-CONAFU,19/11/1998,,,Universidad privada,,Societaria
38,39,Universidad Católica Sedes Sapientiae,Lima,Lima,Res. N° 688-99-CONAFU,27/12/1999,,13/09/2018,Universidad privada,Res. N° 117-2018-SUNEDU/CD,Asociativa
39,40,Universidad Señor de Sipán,Lambayeque,Chiclayo,Res. N° 575-99-CONAFU,05/07/1999,,,Universidad privada,,Societaria
40,41,Universidad Católica de Trujillo Benedicto XVI (*8),La Libertad,Trujillo,Res. N° 147-2000-CONAFU,13/11/2000,,21/02/2019,Universidad privada,Res. N° 018-2019-SUNEDU/CD,Asociativa
41,42,Universidad Peruana de las Américas,Lima,Lima,Res. N° 199-2002-CONAFU,14/08/2002,,,Universidad privada,,Societaria
42,43,Universidad ESAN,Lima,Lima,Ley N° 28021,10/07/2003,,10/04/2018,Universidad privada,Res. N° 038-2018-SUNEDU/CD,Asociativa
43,44,Universidad Antonio Ruiz de Montoya,Lima,Lima,Res. N° 055-2003-CONAFU,05/03/2003,,03/06/2017,Universidad privada,Res. N° 018-2017-SUNEDU/CD,Asociativa
44,45,Universidad Peruana de Ciencias e Informática,Lima,Lima,Res. N° 167-2002-CONAFU,19/07/2002,,,Universidad privada,,Societaria
45,46,Universidad para el Desarrollo Andino,Huancavelica,Angaraes,Res. N° 148-2002-CONAFU,12/06/2002,,28/09/2016,Universidad privada,Res. N° 034-2016-SUNEDU/CD,Asociativa
46,47,Universidad Privada Telesup,Lima,Lima,Res. N° 037-2004-CONAFU,19/02/2004,,30/05/2019,Universidad privada,Res. N° 068-2019-SUNEDU/CD,Societaria
47,48,Universidad Sergio Bernales S.A.,Lima,Cañete,Res. N° 171-2002-CONAFU,26/07/2002,,05/04/2019,Universidad privada,Res. N° 044-2019-SUNEDU/CD,Societaria
48,49,Universidad Privada de Pucallpa S.A.C.,Ucayali,Coronel Portillo,Res. N° 093-2005-CONAFU,15/03/2005,,09/08/2019,Universidad privada,Res. N° 106-2019-SUNEDU/CD,Societaria
49,50,Universidad Autónoma de Ica S.A.C. (*9),Ica,Chincha,Res. N° 136-2006-CONAFU,29/05/2006,,,Universidad privada,,Societaria
50,51,Universidad Privada de Trujillo,La Libertad,Trujillo,Res. N° 510-2011-CONAFU,06/10/2011,,,Universidad privada,,Asociativa
51,52,Universidad Privada San Carlos,Puno,Puno,Res. N° 354-2006-CONAFU,25/10/2006,,,Universidad privada,,Societaria
52,53,Universidad Peruana Simón Bolivar,Lima,Lima,Res. N° 349-2006-CONAFU,25/10/2006,,22/02/2019,Universidad privada,Res. N° 019-2019-SUNEDU/CD,Societaria
53,54,Universidad Peruana de Integración Global S.A.C.,Lima,Lima,Res. N° 099-2007-CONAFU,29/03/2007,,30/10/2018,Universidad privada,Res. N° 146-2018-SUNEDU/CD,Societaria
54,55,Universidad Peruana del Oriente S.A.C.,Loreto,Maynas,Res. N° 405-2006-CONAFU,15/12/2006,,,Universidad privada,,Societaria
55,56,Universidad Autónoma del Perú,Lima,Lima,Res. N° 335-2007-CONAFU,12/12/2007,,29/07/2018,Universidad privada,Res. N° 083-2018-SUNEDU/CD,Societaria
56,57,Universidad de Ciencias y Humanidades,Lima,Lima,Res. N° 411-2006-CONAFU,15/12/2006,,21/11/2017,Universidad privada,Res. N° 071-2017-SUNEDU/CD,Asociativa
57,58,Universidad Privada Juan Mejía Baca,Lambayeque,Chiclayo,Res. N° 522-2008-CONAFU,19/12/2008,,,Universidad privada,,Societaria
58,59,Universidad Jaime Bausate y Meza,Lima,Lima,Ley N° 29278,13/11/2008,,16/06/2018,Universidad privada,Res. N° 057-2018-SUNEDU/CD,Asociativa
59,60,Universidad Peruana del Centro,Junín,Huancayo,Res. N° 133-2009-CONAFU,11/03/2009,,,Universidad privada,,Asociativa
60,61,Universidad Privada Arzobispo Loayza S.A.C,Lima,Lima,Res. N° 129-2009-CONAFU,12/03/2009,,13/06/2019,Universidad privada,Res. N° 080-2019-SUNEDU/CD,Societaria
61,62,Universidad Le Cordon Bleu S.A.C.,Lima,Lima,Res. N° 220-2009-CONAFU,08/05/2009,,16/11/2018,Universidad privada,Res. N° 151-2018-SUNEDU/CD,Societaria
62,63,Universidad Privada de Huancayo Franklin Roosevelt,Junín,Huancayo,Res. N° 571-2009-CONAFU,20/11/2009,,12/06/2019,Universidad privada,Res. N° 078-2019-SUNEDU/CD,Societaria
63,64,Universidad de Lambayeque S.A.C.,Lambayeque,Chiclayo,Res. N° 010-2010-CONAFU,14/01/2010,,21/12/2018,Universidad privada,Res. N° 169-2018-SUNEDU/CD,Societaria
64,65,Universidad de Ciencias y Artes de América Latina S.A.C.,Lima,Lima,Res. N° 011-2010-CONAFU,14/01/2010,,12/10/2016,Universidad privada,Res. N° 035-2016-SUNEDU/CD,Societaria
65,66,Universidad Peruana de Arte Orval S.A.C.,Lima,Lima,Res. N° 029-2010-CONAFU,29/01/2010,,18/10/2018,Universidad privada,Res. N° 141-2018-SUNEDU/CD,Societaria
66,67,Universidad Privada de la Selva Peruana (*10),Loreto,Maynas,Res. N° 142-2010-CONAFU,15/03/2010,,,Universidad privada,,Societaria
67,68,Universidad Ciencias de la Salud,Arequipa,Arequipa,Res. N° 115-2010-CONAFU,15/03/2010,,,Universidad privada,,Societaria
68,69,Universidad de Ayacucho Federico Froebel,Ayacucho,Huamanga,Res. N° 155-2010-CONAFU,24/03/2010,,,Universidad privada,,Societaria
69,70,Universidad Peruana de Investigación y Negocios S.A.C.,Lima,Lima,Res. N° 191-2010-CONAFU,08/04/2010,,29/11/2018,Universidad privada,Res. N° 157-2018-SUNEDU/CD,Societaria
70,71,Universidad Peruana Austral del Cusco,Cusco,Cusco,Res. N° 192-2010-CONAFU,08/04/2010,,,Universidad privada,,Societaria
71,72,Universidad Autónoma San Francisco,Arequipa,Arequipa,Res. N° 196-2010-CONAFU,08/04/2010,,,Universidad privada,,Societaria
72,73,Universidad San Andrés,Lima,Lima,Res. N° 197-2010-CONAFU,08/04/2010,,04/07/2019,Universidad privada,Res. N° 087-2019-SUNEDU/CD,Societaria
73,74,Universidad Interamericana para el Desarrollo,Lima,Lima,Res. N° 199-2010-CONAFU,08/04/2010,,,Universidad privada,,Societaria
74,75,Universidad Privada Juan Pablo II,Lima,Lima,Res. N° 200-2010-CONAFU,08/04/2010,,,Universidad privada,,Societaria
75,76,Universidad Privada Leonardo Da Vinci S.A.C. (*11),La Libertad,Trujillo,Res. N° 202-2010-CONAFU,08/04/2010,,,Universidad privada,,Societaria
76,77,Universidad de Ingeniería y Tecnología,Lima,Lima,Res. N° 401-2011-CONAFU,12/08/2011,,25/03/2016,Universidad privada,Res. N° 015-2016-SUNEDU/CD,Asociativa
77,78,Universidad La Salle,Arequipa,Arequipa,Res. N° 402-2011-CONAFU,12/08/2011,,19/01/2018,Universidad privada,Res. N° 003-2018-SUNEDU/CD,Asociativa
78,79,Universidad Latinoamericana CIMA,Tacna,Tacna,Res. N° 474-2011-CONAFU,22/09/2011,,,Universidad privada,,Societaria
79,80,Universidad Privada Autónoma del Sur,Arequipa,Arequipa,Res. N° 506-2011-CONAFU,06/10/2011,,,Universidad privada,,Societaria
80,81,Universidad María Auxiliadora,Lima,Lima,Res. N° 649-2011-CONAFU,22/12/2011,,19/10/2018,Universidad privada,Res. N° 143-2018-SUNEDU/CD,Societaria
81,82,Universidad Politécnica Amazónica S.A.C.,Amazonas,Utcubamba,Res. N° 650-2011-CONAFU,22/12/2011,,,Universidad privada,,Societaria
82,83,Universidad Santo Domingo de Guzmán,Lima,Huarochirí,Res. N° 401-2012-CONAFU,25/07/2012,,,Universidad privada,,Societaria
83,84,Universidad Marítima del Perú,Callao,Callao,Res. N° 403-2012-CONAFU,25/07/2012,,18/01/2019,Universidad privada,Res. N° 004-2019-SUNEDU/CD,Societaria
84,85,Universidad Privada Líder Peruana,Cusco,La Convención,Res. N° 404-2012-CONAFU,25/07/2012,,,Universidad privada,,Societaria
85,86,Universidad Privada Peruano Alemana S.AC.,Lima,Lima,Res. N° 405-2012-CONAFU,25/07/2012,,06/08/2019,Universidad privada,Res. N° 105-2019-SUNEDU/CD,Societaria
86,87,Universidad Global del Cusco,Cusco,Cusco,Res. N° 406-2012-CONAFU,25/07/2012,,,Universidad privada,,Societaria
87,88,Universidad Santo Tomás de Aquino de Ciencia e Integración,Junín,Huancayo,Res. N° 407-2012-CONAFU,25/07/2012,,,Universidad privada,,Societaria
88,89,Universidad Privada SISE,Lima,Lima,Res. N° 408-2012-CONAFU,25/07/2012,,,Universidad privada,,Societaria
89,90,Universidad Seminario Evangélico de Lima (*12),Lima,Lima,Ley N° 30220,09/07/2014,,,Universidad privada,,Asociativa
90,91,Universidad Seminario Bíblico Andino (*12),Lima,Lima,Ley N° 30220,09/07/2014,,,Universidad privada,,Asociativa
91,92,Universidad Católica San José,Lima,Lima,Real Cédula de Fundación,12/05/1551,,,Universidad privada,,Asociativa
