UBIGEO1,UBIGEO2,DEPARTAMENTO,PROVINCIA,DISTRITO,POVERTY_RATE,PBI_PC,IDH
10706,10000,AMAZONAS,UTCUBAMBA,LONYA GRANDE,32.328096,3449.564733,41.8
10707,10000,AMAZONAS,UTCUBAMBA,YAMÓN,38.391761,3449.564733,41.8
20101,20000,ÁNCASH,HUARAZ,HUARAZ,10.242455,3151.903885,51.6
20102,20000,ÁNCASH,HUARAZ,COCHABAMBA,51.041382,3151.903885,51.6
20103,20000,ÁNCASH,HUARAZ,COLCABAMBA,40.32822,3151.903885,51.6
20104,20000,ÁNCASH,HUARAZ,HUANCHAY,33.213594,3151.903885,51.6
20105,20000,ÁNCASH,HUARAZ,INDEPENDENCIA,11.537697,3151.903885,51.6
20106,20000,ÁNCASH,HUARAZ,JANGAS,23.373813,3151.903885,51.6
20107,20000,ÁNCASH,HUARAZ,LA LIBERTAD,40.451562,3151.903885,51.6
20108,20000,ÁNCASH,HUARAZ,OLLEROS,27.58076,3151.903885,51.6
20109,20000,ÁNCASH,HUARAZ,PAMPAS,46.279289,3151.903885,51.6
20110,20000,ÁNCASH,HUARAZ,PARIACOTO,32.034603,3151.903885,51.6
20111,20000,ÁNCASH,HUARAZ,PIRA,40.32822,3151.903885,51.6
20112,20000,ÁNCASH,HUARAZ,TARICA,27.58076,3151.903885,51.6
20201,20000,ÁNCASH,AIJA,AIJA,20.74384,3151.903885,51.6
20202,20000,ÁNCASH,AIJA,CORIS,40.218881,3151.903885,51.6
20203,20000,ÁNCASH,AIJA,HUACLLAN,27.149267,3151.903885,51.6
20204,20000,ÁNCASH,AIJA,LA MERCED,39.637681,3151.903885,51.6
20205,20000,ÁNCASH,AIJA,SUCCHA,23.04721,3151.903885,51.6
20301,20000,ÁNCASH,ANTONIO RAYMONDI,LLAMELLÍN,25.153086,3151.903885,51.6
20302,20000,ÁNCASH,ANTONIO RAYMONDI,ACZO,48.338683,3151.903885,51.6
20303,20000,ÁNCASH,ANTONIO RAYMONDI,CHACCHO,44.632847,3151.903885,51.6
20304,20000,ÁNCASH,ANTONIO RAYMONDI,CHINGAS,31.88595,3151.903885,51.6
20305,20000,ÁNCASH,ANTONIO RAYMONDI,MIRGAS,53.281578,3151.903885,51.6
20306,20000,ÁNCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,40.071387,3151.903885,51.6
20401,20000,ÁNCASH,ASUNCION,CHACAS,30.403907,3151.903885,51.6
20402,20000,ÁNCASH,ASUNCION,ACOCHACA,37.911803,3151.903885,51.6
20501,20000,ÁNCASH,BOLOGNESI,CHIQUIÁN,17.422242,3151.903885,51.6
20502,20000,ÁNCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,22.73741,3151.903885,51.6
20503,20000,ÁNCASH,BOLOGNESI,ANTONIO RAYMONDI,42.121181,3151.903885,51.6
20504,20000,ÁNCASH,BOLOGNESI,AQUIA,28.459053,3151.903885,51.6
20505,20000,ÁNCASH,BOLOGNESI,CAJACAY,22.052934,3151.903885,51.6
20506,20000,ÁNCASH,BOLOGNESI,CANIS,33.31055,3151.903885,51.6
20507,20000,ÁNCASH,BOLOGNESI,COLQUIOC,13.461006,3151.903885,51.6
20508,20000,ÁNCASH,BOLOGNESI,HUALLANCA,28.567574,3151.903885,51.6
20509,20000,ÁNCASH,BOLOGNESI,HUASTA,36.252914,3151.903885,51.6
20510,20000,ÁNCASH,BOLOGNESI,HUAYLLACAYÁN,46.825821,3151.903885,51.6
20511,20000,ÁNCASH,BOLOGNESI,LA PRIMAVERA,37.535376,3151.903885,51.6
20512,20000,ÁNCASH,BOLOGNESI,MANGAS,33.31055,3151.903885,51.6
20513,20000,ÁNCASH,BOLOGNESI,PACLLÓN,22.73741,3151.903885,51.6
20514,20000,ÁNCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,22.73741,3151.903885,51.6
20515,20000,ÁNCASH,BOLOGNESI,TICLLOS,35.985119,3151.903885,51.6
20601,20000,ÁNCASH,CARHUAZ,CARHUAZ,25.341305,3151.903885,51.6
20602,20000,ÁNCASH,CARHUAZ,ACOPAMPA,26.14765,3151.903885,51.6
20603,20000,ÁNCASH,CARHUAZ,AMASHCA,36.63522,3151.903885,51.6
20604,20000,ÁNCASH,CARHUAZ,ANTA,46.097252,3151.903885,51.6
20605,20000,ÁNCASH,CARHUAZ,ATAQUERO,41.993193,3151.903885,51.6
20606,20000,ÁNCASH,CARHUAZ,MARCARÁ,24.508283,3151.903885,51.6
20607,20000,ÁNCASH,CARHUAZ,PARIAHUANCA,26.14765,3151.903885,51.6
20608,20000,ÁNCASH,CARHUAZ,SAN MIGUEL DE ACO,59.511489,3151.903885,51.6
20609,20000,ÁNCASH,CARHUAZ,SHILLA,26.14765,3151.903885,51.6
20610,20000,ÁNCASH,CARHUAZ,TINCO,34.544772,3151.903885,51.6
20611,20000,ÁNCASH,CARHUAZ,YUNGAR,34.352941,3151.903885,51.6
20701,20000,ÁNCASH,CARLOS F. FITZCARRALD,SAN LUIS,35.243619,3151.903885,51.6
20702,20000,ÁNCASH,CARLOS F. FITZCARRALD,SAN NICOLÁS,53.17466,3151.903885,51.6
20703,20000,ÁNCASH,CARLOS F. FITZCARRALD,YAUYA,46.599182,3151.903885,51.6
20801,20000,ÁNCASH,CASMA,CASMA,16.666532,3151.903885,51.6
20802,20000,ÁNCASH,CASMA,BUENA VISTA ALTA,24.24014,3151.903885,51.6
20803,20000,ÁNCASH,CASMA,COMANDANTE NOEL,13.944203,3151.903885,51.6
20804,20000,ÁNCASH,CASMA,YAUTÁN,24.24014,3151.903885,51.6
20901,20000,ÁNCASH,CORONGO,CORONGO,40.723428,3151.903885,51.6
20902,20000,ÁNCASH,CORONGO,ACO,44.305189,3151.903885,51.6
20903,20000,ÁNCASH,CORONGO,BAMBAS,61.961049,3151.903885,51.6
20904,20000,ÁNCASH,CORONGO,CUSCA,36.098091,3151.903885,51.6
20905,20000,ÁNCASH,CORONGO,LA PAMPA,32.886792,3151.903885,51.6
20906,20000,ÁNCASH,CORONGO,YÁNAC,52.413249,3151.903885,51.6
20907,20000,ÁNCASH,CORONGO,YUPÁN,50.872416,3151.903885,51.6
21001,20000,ÁNCASH,HUARI,HUARI,24.245806,3151.903885,51.6
21002,20000,ÁNCASH,HUARI,ANRA,41.566079,3151.903885,51.6
21003,20000,ÁNCASH,HUARI,CAJAY,46.527698,3151.903885,51.6
21004,20000,ÁNCASH,HUARI,CHAVÍN DE HUÁNTAR,29.431013,3151.903885,51.6
21005,20000,ÁNCASH,HUARI,HUACACHI,36.309609,3151.903885,51.6
21006,20000,ÁNCASH,HUARI,HUACCHIS,34.246844,3151.903885,51.6
21007,20000,ÁNCASH,HUARI,HUACHIS,28.47654,3151.903885,51.6
21008,20000,ÁNCASH,HUARI,HUANTAR,33.146911,3151.903885,51.6
21009,20000,ÁNCASH,HUARI,MASIN,28.47654,3151.903885,51.6
21010,20000,ÁNCASH,HUARI,PAUCAS,30.4447,3151.903885,51.6
21011,20000,ÁNCASH,HUARI,PONTO,40.41345,3151.903885,51.6
21012,20000,ÁNCASH,HUARI,RAHUAPAMPA,30.4447,3151.903885,51.6
21013,20000,ÁNCASH,HUARI,RAPAYAN,35.258642,3151.903885,51.6
21014,20000,ÁNCASH,HUARI,SAN MARCOS,24.785192,3151.903885,51.6
21015,20000,ÁNCASH,HUARI,SAN PEDRO DE CHANA,40.53261,3151.903885,51.6
21016,20000,ÁNCASH,HUARI,UCO,40.094571,3151.903885,51.6
21101,20000,ÁNCASH,HUARMEY,HUARMEY,13.929274,3151.903885,51.6
21102,20000,ÁNCASH,HUARMEY,COCHAPETI,41.711712,3151.903885,51.6
21103,20000,ÁNCASH,HUARMEY,CULEBRAS,13.840706,3151.903885,51.6
21104,20000,ÁNCASH,HUARMEY,HUAYAN,19.663807,3151.903885,51.6
21105,20000,ÁNCASH,HUARMEY,MALVAS,25.757746,3151.903885,51.6
21201,20000,ÁNCASH,HUAYLAS,CARAZ,24.847898,3151.903885,51.6
21202,20000,ÁNCASH,HUAYLAS,HUALLANCA,43.176707,3151.903885,51.6
21203,20000,ÁNCASH,HUAYLAS,HUATA,53.980655,3151.903885,51.6
21204,20000,ÁNCASH,HUAYLAS,HUAYLAS,30.338104,3151.903885,51.6
21205,20000,ÁNCASH,HUAYLAS,MATO,40.957408,3151.903885,51.6
21206,20000,ÁNCASH,HUAYLAS,PAMPAROMÁS,44.672571,3151.903885,51.6
21207,20000,ÁNCASH,HUAYLAS,PUEBLO LIBRE,49.106572,3151.903885,51.6
21208,20000,ÁNCASH,HUAYLAS,SANTA CRUZ,52.231081,3151.903885,51.6
21209,20000,ÁNCASH,HUAYLAS,SANTO TORIBIO,48.920942,3151.903885,51.6
21210,20000,ÁNCASH,HUAYLAS,YURACMARCA,54.506004,3151.903885,51.6
21301,20000,ÁNCASH,MARISCAL LUZURIAGA,PISCOBAMBA,31.635651,3151.903885,51.6
21302,20000,ÁNCASH,MARISCAL LUZURIAGA,CASCA,58.036169,3151.903885,51.6
21303,20000,ÁNCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMÁN BARRÓN,50.877294,3151.903885,51.6
21304,20000,ÁNCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,64.538085,3151.903885,51.6
21305,20000,ÁNCASH,MARISCAL LUZURIAGA,LLAMA,45.681818,3151.903885,51.6
21306,20000,ÁNCASH,MARISCAL LUZURIAGA,LLUMPA,55.002729,3151.903885,51.6
21307,20000,ÁNCASH,MARISCAL LUZURIAGA,LUCMA,52.653734,3151.903885,51.6
21308,20000,ÁNCASH,MARISCAL LUZURIAGA,MUSGA,52.200894,3151.903885,51.6
21401,20000,ÁNCASH,OCROS,OCROS,17.105698,3151.903885,51.6
21402,20000,ÁNCASH,OCROS,ACAS,28.06648,3151.903885,51.6
21403,20000,ÁNCASH,OCROS,CAJAMARQUILLA,34.49565,3151.903885,51.6
21404,20000,ÁNCASH,OCROS,CARHUAPAMPA,34.49565,3151.903885,51.6
21405,20000,ÁNCASH,OCROS,COCHAS,23.49801,3151.903885,51.6
21406,20000,ÁNCASH,OCROS,CONGAS,28.06648,3151.903885,51.6
21407,20000,ÁNCASH,OCROS,LLIPA,23.49801,3151.903885,51.6
21408,20000,ÁNCASH,OCROS,SAN CRISTÓBAL RAJÁN,34.49565,3151.903885,51.6
21409,20000,ÁNCASH,OCROS,SAN PEDRO,28.06648,3151.903885,51.6
21410,20000,ÁNCASH,OCROS,SANTIAGO DE CHILCAS,39.95614,3151.903885,51.6
21501,20000,ÁNCASH,PALLASCA,CABANA,32.465266,3151.903885,51.6
21502,20000,ÁNCASH,PALLASCA,BOLOGNESI,51.723124,3151.903885,51.6
21503,20000,ÁNCASH,PALLASCA,CONCHUCOS,62.678741,3151.903885,51.6
21504,20000,ÁNCASH,PALLASCA,HUACASCHUQUE,68.224195,3151.903885,51.6
21505,20000,ÁNCASH,PALLASCA,HUANDOVAL,47.522474,3151.903885,51.6
21506,20000,ÁNCASH,PALLASCA,LACABAMBA,63.25463,3151.903885,51.6
21507,20000,ÁNCASH,PALLASCA,LLAPO,45.888685,3151.903885,51.6
21508,20000,ÁNCASH,PALLASCA,PALLASCA,57.940699,3151.903885,51.6
21509,20000,ÁNCASH,PALLASCA,PAMPAS,45.010098,3151.903885,51.6
21510,20000,ÁNCASH,PALLASCA,SANTA ROSA,50.658076,3151.903885,51.6
21511,20000,ÁNCASH,PALLASCA,TAUCA,59.271944,3151.903885,51.6
21601,20000,ÁNCASH,POMABAMBA,POMABAMBA,33.104059,3151.903885,51.6
21602,20000,ÁNCASH,POMABAMBA,HUAYLLÁN,49.252652,3151.903885,51.6
21603,20000,ÁNCASH,POMABAMBA,PAROBAMBA,49.471399,3151.903885,51.6
21604,20000,ÁNCASH,POMABAMBA,QUINUABAMBA,63.401246,3151.903885,51.6
21701,20000,ÁNCASH,RECUAY,RECUAY,24.49413,3151.903885,51.6
21702,20000,ÁNCASH,RECUAY,CÁTAC,24.49413,3151.903885,51.6
21703,20000,ÁNCASH,RECUAY,COTAPARACO,24.544536,3151.903885,51.6
21704,20000,ÁNCASH,RECUAY,HUAYLLAPAMPA,39.387722,3151.903885,51.6
21705,20000,ÁNCASH,RECUAY,LLACLLIN,22.66293,3151.903885,51.6
21706,20000,ÁNCASH,RECUAY,MARCA,36.242482,3151.903885,51.6
21707,20000,ÁNCASH,RECUAY,PAMPAS CHICO,22.66293,3151.903885,51.6
21708,20000,ÁNCASH,RECUAY,PARARIN,22.66293,3151.903885,51.6
21709,20000,ÁNCASH,RECUAY,TAPACOCHA,22.66293,3151.903885,51.6
21710,20000,ÁNCASH,RECUAY,TICAPAMPA,22.66293,3151.903885,51.6
21801,20000,ÁNCASH,SANTA,CHIMBOTE,15.745519,3151.903885,51.6
21802,20000,ÁNCASH,SANTA,CÁCERES DEL PERÚ,44.268123,3151.903885,51.6
21803,20000,ÁNCASH,SANTA,COISHCO,19.491299,3151.903885,51.6
21804,20000,ÁNCASH,SANTA,MACATE,55.6831,3151.903885,51.6
21805,20000,ÁNCASH,SANTA,MORO,20.081087,3151.903885,51.6
21806,20000,ÁNCASH,SANTA,NEPEÑA,19.718336,3151.903885,51.6
21807,20000,ÁNCASH,SANTA,SAMANCO,21.460478,3151.903885,51.6
21808,20000,ÁNCASH,SANTA,SANTA,19.865735,3151.903885,51.6
21809,20000,ÁNCASH,SANTA,NUEVO CHIMBOTE,9.905873,3151.903885,51.6
21901,20000,ÁNCASH,SIHUAS,SIHUAS,27.851744,3151.903885,51.6
21902,20000,ÁNCASH,SIHUAS,ACOBAMBA,64.935532,3151.903885,51.6
21903,20000,ÁNCASH,SIHUAS,ALFONSO UGARTE,55.834331,3151.903885,51.6
21904,20000,ÁNCASH,SIHUAS,CASHAPAMPA,48.143048,3151.903885,51.6
21905,20000,ÁNCASH,SIHUAS,CHINGALPO,48.780244,3151.903885,51.6
21906,20000,ÁNCASH,SIHUAS,HUAYLLABAMBA,60.205834,3151.903885,51.6
21907,20000,ÁNCASH,SIHUAS,QUICHES,45.549281,3151.903885,51.6
21908,20000,ÁNCASH,SIHUAS,RAGASH,59.317969,3151.903885,51.6
21909,20000,ÁNCASH,SIHUAS,SAN JUAN,62.39034,3151.903885,51.6
21910,20000,ÁNCASH,SIHUAS,SICSIBAMBA,47.918974,3151.903885,51.6
22001,20000,ÁNCASH,YUNGAY,YUNGAY,28.646702,3151.903885,51.6
22002,20000,ÁNCASH,YUNGAY,CASCAPARA,62.5019,3151.903885,51.6
22003,20000,ÁNCASH,YUNGAY,MANCOS,30.428205,3151.903885,51.6
22004,20000,ÁNCASH,YUNGAY,MATACOTO,41.341772,3151.903885,51.6
22005,20000,ÁNCASH,YUNGAY,QUILLO,59.194668,3151.903885,51.6
22006,20000,ÁNCASH,YUNGAY,RANRAHIRCA,40.109084,3151.903885,51.6
22007,20000,ÁNCASH,YUNGAY,SHUPLUY,53.491018,3151.903885,51.6
22008,20000,ÁNCASH,YUNGAY,YANAMA,41.635967,3151.903885,51.6
30101,30000,APURÍMAC,ABANCAY,ABANCAY,19.900498,6100.316981,41.1
30102,30000,APURÍMAC,ABANCAY,CHACOCHE,39.475629,6100.316981,41.1
30103,30000,APURÍMAC,ABANCAY,CIRCA,44.881031,6100.316981,41.1
30104,30000,APURÍMAC,ABANCAY,CURAHUASI,31.117322,6100.316981,41.1
30105,30000,APURÍMAC,ABANCAY,HUANIPACA,44.652933,6100.316981,41.1
30106,30000,APURÍMAC,ABANCAY,LAMBRAMA,32.346012,6100.316981,41.1
30107,30000,APURÍMAC,ABANCAY,PICHIRHUA,42.565085,6100.316981,41.1
30108,30000,APURÍMAC,ABANCAY,SAN PEDRO DE CACHORA,41.283525,6100.316981,41.1
30109,30000,APURÍMAC,ABANCAY,TAMBURCO,19.734357,6100.316981,41.1
30201,30000,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS  ,25.891636,6100.316981,41.1
30202,30000,APURÍMAC,ANDAHUAYLAS,ANDARAPA,51.744097,6100.316981,41.1
30203,30000,APURÍMAC,ANDAHUAYLAS,CHIARA,44.922881,6100.316981,41.1
30204,30000,APURÍMAC,ANDAHUAYLAS,HUANCARAMA,38.089667,6100.316981,41.1
30205,30000,APURÍMAC,ANDAHUAYLAS,HUANCARAY,57.965048,6100.316981,41.1
30206,30000,APURÍMAC,ANDAHUAYLAS,HUAYANA,37.950094,6100.316981,41.1
30207,30000,APURÍMAC,ANDAHUAYLAS,KISHUARA,50.197483,6100.316981,41.1
30208,30000,APURÍMAC,ANDAHUAYLAS,PACOBAMBA,36.17471,6100.316981,41.1
30209,30000,APURÍMAC,ANDAHUAYLAS,PACUCHA,43.413808,6100.316981,41.1
30210,30000,APURÍMAC,ANDAHUAYLAS,PAMPACHIRI,58.244383,6100.316981,41.1
30211,30000,APURÍMAC,ANDAHUAYLAS,POMACOCHA,43.328688,6100.316981,41.1
30212,30000,APURÍMAC,ANDAHUAYLAS,SAN ANTONIO DE CACHI,53.040106,6100.316981,41.1
30213,30000,APURÍMAC,ANDAHUAYLAS,SAN JERÓNIMO,33.594622,6100.316981,41.1
30214,30000,APURÍMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,57.228157,6100.316981,41.1
30215,30000,APURÍMAC,ANDAHUAYLAS,SANTA MARÍA DE CHICMO,52.899856,6100.316981,41.1
30216,30000,APURÍMAC,ANDAHUAYLAS,TALAVERA,30.120466,6100.316981,41.1
30217,30000,APURÍMAC,ANDAHUAYLAS,TUMAY HUARACA,55.533441,6100.316981,41.1
30218,30000,APURÍMAC,ANDAHUAYLAS,TURPO,48.327018,6100.316981,41.1
30219,30000,APURÍMAC,ANDAHUAYLAS,KAQUIABAMBA,51.887377,6100.316981,41.1
30220,30000,APURÍMAC,ANDAHUAYLAS,JOSÉ MARÍA ARGUEDAS  ,44.577723,6100.316981,41.1
30301,30000,APURÍMAC,ANTABAMBA,ANTABAMBA,28.2,6100.316981,41.1
30302,30000,APURÍMAC,ANTABAMBA,EL ORO,32.0526,6100.316981,41.1
30303,30000,APURÍMAC,ANTABAMBA,HUAQUIRCA,25.489168,6100.316981,41.1
30304,30000,APURÍMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,32.0526,6100.316981,41.1
30305,30000,APURÍMAC,ANTABAMBA,OROPESA,36.240723,6100.316981,41.1
30306,30000,APURÍMAC,ANTABAMBA,PACHACONAS,31.609307,6100.316981,41.1
30307,30000,APURÍMAC,ANTABAMBA,SABAINO,50.827642,6100.316981,41.1
30401,30000,APURÍMAC,AYMARAES,CHALHUANCA,23.417227,6100.316981,41.1
30402,30000,APURÍMAC,AYMARAES,CAPAYA,41.689197,6100.316981,41.1
30403,30000,APURÍMAC,AYMARAES,CARAYBAMBA,40.195551,6100.316981,41.1
30404,30000,APURÍMAC,AYMARAES,CHAPIMARCA,40.353115,6100.316981,41.1
30405,30000,APURÍMAC,AYMARAES,COLCABAMBA,39.005857,6100.316981,41.1
30406,30000,APURÍMAC,AYMARAES,COTARUSE,32.06848,6100.316981,41.1
30407,30000,APURÍMAC,AYMARAES,HUAYLLO,39.315296,6100.316981,41.1
30408,30000,APURÍMAC,AYMARAES,JUSTO APU SAHUARAURA,44.243394,6100.316981,41.1
30409,30000,APURÍMAC,AYMARAES,LUCRE,55.45137,6100.316981,41.1
30410,30000,APURÍMAC,AYMARAES,POCOHUANCA,39.414423,6100.316981,41.1
30411,30000,APURÍMAC,AYMARAES,SAN JUAN DE CHACÑA,33.518836,6100.316981,41.1
30412,30000,APURÍMAC,AYMARAES,SAÑAYCA,32.06848,6100.316981,41.1
30413,30000,APURÍMAC,AYMARAES,SORAYA,40.819858,6100.316981,41.1
30414,30000,APURÍMAC,AYMARAES,TAPAIRIHUA,51.094893,6100.316981,41.1
30415,30000,APURÍMAC,AYMARAES,TINTAY,31.980678,6100.316981,41.1
30416,30000,APURÍMAC,AYMARAES,TORAYA,38.646567,6100.316981,41.1
