UBIGEO, MÉTODO DE EXPLOTACIÓN,TITULAR,UNIDAD,REGION,PROVINCIA,DISTRITO,PRODUCTO,LONGITUD,LATITUD
90304,MINERÍA SUBTERRÁNEA,COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,JULCANI,HUANCAVELICA,ANGARAES,CCOCHACCASA,"As, Cu, Pb, Au, Ag",-74.810641,-12.946424
40307,MINERÍA SUBTERRÁNEA,MINERA TITAN DEL PERU S.R.L.,BELEN,AREQUIPA,CARAVELI,CHALA,"Cu, Pb, Zn, Au, Ag",-74.244911,-15.826292
40307,MINERíA SUPERFICIAL,MINERA VETA DORADA S.A.C.,VETA DORADA,AREQUIPA,CARAVELI,CHALA,"Au, Ag",-74.248,-15.803
30506,MINERíA SUPERFICIAL,MINERA LAS BAMBAS S.A.,LAS BAMBAS,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,"Cu, Mo",-72.279,-14.09
40308,MINERÍA SUBTERRÁNEA,MINERA COLIBRI S.A.C.,DOBLE D,AREQUIPA,CARAVELI,CHAPARRA,Au,-73.864818,-15.741468
40308,MINERÍA SUBTERRÁNEA,NEXA RESOURCES PERU S.A.A.,CERRO LINDO,ICA,CHINCHA,CHAVIN,"Zn, Ag, Pb, Cu",-75.97849,-13.079805
50605,MINERíA SUPERFICIAL,APUMAYO S.A.C.,APUMAYO,AYACUCHO,LUCANAS,CHAVIÑA,"Au, Ag",-73.923383,-14.956865
150705,MINERÍA SUBTERRÁNEA,EMPRESA MINERA LOS QUENUALES S.A.,YAULIYACU,LIMA,HUAROCHIRI,CHICLA,"Zn, Ag, Pb, Cu",-76.262,-11.68
150505,MINERíA NO METÁLICA,ROCA FUERTE INVERSIONES INMOBILIARIAS S.A.C.,CHILCA,LIMA,CAÑETE,CHILCA,"Caliza, Dolomita",-76.590548,-12.563
100103,MINERíA NO METÁLICA,COMPAÑIA MINERA AGREGADOS CALCAREOS S.A.,PEDREGAL,HUANUCO,HUANUCO,CHINCHAO,Silicatos,-76.101,-9.76
120108,MINERíA SUPERFICIAL,MINERA IRL S.A.,CORIHUARMI,JUNIN,HUANCAYO,CHONGOS ALTO,"Au, Ag",-75.562948,-12.570439
120108,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA SAN VALENTIN S.A.,LOS HERALDOS NEGROS,JUNIN,HUANCAYO,CHONGOS ALTO,"Cu, Pb, Zn, Ag",-75.247,-12.627
50702,MINERíA SUPERFICIAL,SOUTH AMERICA MINING INVESTMENTS S.A.C,BREAPAMPA,AYACUCHO,PARINACOCHAS,CHUMPI,"Au, Ag",-73.688106,-15.055361
150506,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA CONDESTABLE S.A.,CONDESTABLE,LIMA,CAÑETE,COAYLLO,"Cu, Au, Ag",-76.590548,-12.604568
120112,MINERíA NO METÁLICA,CINSA MINERA VIRGEN DE GUADALUPE S.A.,SANTA MARIA I 2008,JUNIN,HUANCAYO,COLCA,Puzolana,-75.158,-12.329
30406,MINERíA SUPERFICIAL,COMPAÑIA MINERA ARES S.A.C.,EL EXPLORADOR,APURÍMAC,AYMARAES,COTARUSE,"Au, Ag",-73.132,-14.659
120406,MINERíA NO METÁLICA,MARMOLES Y GRANITOS S.A.,CHACAPALPA,JUNIN,JAUJA,CURICACA,Travertino,-75.450134,-11.431366
60105,MINERíA SUPERFICIAL,MINERA YANACOCHA S.R.L.,CHAUPILOMA NORTE,CAJAMARCA,CAJAMARCA,ENCAÑADA,"Au, Ag",-78.521325,-6.989249
60105,MINERíA NO METÁLICA,MINERA YANACOCHA S.R.L.,CHINA LINDA,CAJAMARCA,CAJAMARCA,ENCAÑADA,Caliza,-78.471,-6.927
80801,MINERíA SUPERFICIAL,COMPAÑIA MINERA ANTAPACCAY S.A.,ANTAPACCAY 1,CUSCO,ESPINAR,ESPINAR,"Cu, Au, Ag",-71.386177,-14.963872
131203,MINERíA NO METÁLICA,MINERA ADOLFO MAX S.R.L.,ADOLFO,LA LIBERTAD,VIRU,GUADALUPITO,Sal,-78.63,-8.88
21007,MINERÍA SUBTERRÁNEA,NYRSTAR ANCASH S.A.,CONTONGA,ANCASH,HUARI,HUACHIS,"Cu, Pb, Zn, Ag",-77.068134,-9.499548
150801,MINERíA NO METÁLICA,QUIMPAC S.A.,QUIMPAC,LIMA,HUAURA,HUACHO,Sal,-77.561088,-11.279766
90106,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA KOLPA S.A.,HUACHOCOLPA,HUANCAVELICA,HUANCAVELICA,HUACHOCOLPA,"Pb, Zn, Ag, Cu",-74.984397,-13.069512
60703,MINERíA SUPERFICIAL,GOLD FIELDS LA CIMA S.A.,CERRO CORONA,CAJAMARCA,HUALGAYOC,HUALGAYOC,"Cu, Au",-78.625576,-6.760399
20508,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA SANTA LUISA S.A.,EL RECUERDO,ANCASH,BOLOGNESI,HUALLANCA,"Cu, Pb, Zn, Ag",-77.040085,-9.823863
20508,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA SANTA LUISA S.A.,SANTA LUISA,ANCASH,BOLOGNESI,HUALLANCA,"Cu, Pb, Zn, Ag",-77.000369,-9.878114
130901,MINERíA SUPERFICIAL,LA ARENA S.A.,LA ARENA,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,"Au, Ag",-78.135419,-7.895645
40309,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA CARAVELI S.A.C.,CHACCHUILLE,AREQUIPA,CARAVELI,HUANUHUANU,"Au, Ag",-74.076,-15.644
30303,MINERíA SUPERFICIAL,ANABI S.A.C.,ANAMA,APURIMAC,ANTABAMBA,HUAQUIRCA,"Au, Ag",-72.445343,-14.195356
150601,MINERÍA SUBTERRÁNEA,MINERA COLQUISIRI S.A.,MARIA TERESA,LIMA,HUARAL,HUARAL,"Zn, Ag, Cu, Pb",-77.279,-11.493
120803,MINERÍA SUBTERRÁNEA,VOLCAN COMPAÑÍA MINERA S.A.A.,ANDAYCHAGUA,JUNIN,YAULI,HUAY-HUAY,"Zn, Ag, Pb, Cu",-76.026687,-11.79278
190104,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA CHUNGAR S.A.C.,ANIMON,PASCO,PASCO,HUAYLLAY,"Zn, Ag, Cu, Pb",-76.431686,-11.029021
190104,MINERÍA SUBTERRÁNEA,PAN AMERICAN SILVER HUARON S.A.,HUARON (FRANCOIS),PASCO,PASCO,HUAYLLAY,"Pb, Zn, Au, Ag, Cu",-76.428345,-11.007897
230302,MINERíA SUPERFICIAL,SOUTHERN PERU COPPER CORPORATION SUCURSAL DEL PERU,TOQUEPALA,TACNA,JORGE BASADRE,ILABAYA,"Cu, Mo, Au, Ag",-70.614679,-17.24351
20105,MINERÍA SUBTERRÁNEA,MINERA BARRICK MISQUICHILCA S.A.,MISQUICHILCA,ANCASH,HUARAZ,INDEPENDENCIA,"Au, Ag",-77.599,-9.462
120801,FUNDICION,DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA,C.M.LA OROYA-REFINACION 1 Y 2,JUNIN,YAULI,LA OROYA,"Cu, Pb, Zn",-75.933,-11.526
120705,MINERíA NO METÁLICA,UNION ANDINA DE CEMENTOS S.A.A.,ANDINO A DE HUANCAYO,JUNIN,TARMA,LA UNION,"Caliza, Puzolana, Silice, Yeso",-75.813437,-11.374854
120705,MINERíA NO METÁLICA,COMPAÑIA MINERA AGREGADOS CALCAREOS S.A.,SILICAL,JUNIN,TARMA,LA UNION,"Caliza, Pirofilita",-75.045,-11.369
120705,MINERíA NO METÁLICA,TRANSPORTES Y MINERALES LOPEZ S.A.,TAPADA,JUNIN,TARMA,LA UNION,Arcillas,-75.828,-11.371
151018,MINERÍA SUBTERRÁNEA,SOCIEDAD MINERA CORONA S.A.,YAURICOCHA,LIMA,YAUYOS,LARAOS,"Zn, Ag, Cu, Pb",-75.704212,-12.329177
131102,MINERíA NO METÁLICA,LA ESTRELLA TRADING Y LOGISTICA S.A.C.,AGAUCU,LA LIBERTAD,GRAN CHIMU,LUCMA,Carbón,-78.56,-7.633
150118,REFINERIA,VOTORANTIM METAIS - CAJAMARQUILLA S.A.,REFINERIA DE CAJAMARQUILLA,LIMA,LIMA,LURIGANCHO,"Cd, Cu, Zn, Ag",-76.881772,-11.966871
150119,MINERíA NO METÁLICA,CONCREMAX S.A.,CONCREMAX,LIMA,LIMA,LURIN,Hormigón,-76.43173,-12.435866
140204,MINERíA NO METÁLICA,PLANTA CHANCADORA PIEDRA AZUL SRL,LAS TRES TOMAS,LAMBAYEQUE,FERREÑAFE,MANUEL ANTONIO MESONES MURO,"Arcilla, piedra y arena (construcción)",-79.718,-6.629
120804,MINERíA NO METÁLICA,COMPAÑIA MINERA LAFAYETTE S.A.,LA MONA,JUNIN,YAULI,MARCAPOMACOCHA,Caliza,-76.18,-11.245
110304,MINERíA SUPERFICIAL,SHOUGANG HIERRO PERU S.A.A.,MARCONA,ICA,NASCA,MARCONA,Fe,-75.222943,-15.269746
110304,MINERíA SUPERFICIAL,MINERA SHOUXIN PERU S.A.,SHOUXIN,ICA,NASCA,MARCONA,"Cu, Fe, Pb, Zn",-75.124649,-15.202603
120805,MINERÍA SUBTERRÁNEA,SOCIEDAD MINERA AUSTRIA DUVAZ S.A.C.,AUSTRIA DUVAZ,JUNIN,YAULI,MOROCOCHA,"Pb, Zn, Ag, Cu",-76.146862,-11.596737
120805,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA ARGENTUM S.A.,MOROCOCHA,JUNIN,YAULI,MOROCOCHA,"Pb, Zn, Ag, Cu",-76.102,-11.627
120805,MINERÍA SUBTERRÁNEA,VOLCAN COMPAÑÍA MINERA S.A.A.,TICLIO,JUNIN,YAULI,MOROCOCHA,"Cu, Pb, Zn, Ag",-76.186123,-11.57004
120805,MINERíA SUPERFICIAL,MINERA CHINALCO PERU S.A.,TOROMOCHO,JUNIN,YAULI,MOROCOCHA,"Cu, Mo, Zn, Ag, As",-76.143973,-11.607061
220101,MINERíA NO METÁLICA,INDUSTRIA YESERA MOYOBAMBA EIRL,INDUSTRIA YESERA MOYOBAMBA,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Yeso,-77.017,-6.064
220804,MINERíA NO METÁLICA,CEMENTOS SELVA S.A.,RIOJA,SAN MARTIN,RIOJA,NUEVA CAJAMARCA,"Arcillas, Calcita, Caliza",-77.322369,-5.950679
90606,MINERíA SUPERFICIAL,SIERRA ANTAPITE S.A.C.,PLANTA ANTAPITE,HUANCAVELICA,HUAYTARA,OCOYO,"Au, Ag",-75.07,-13.882
210705,MINERíA SUPERFICIAL,ARUNTANI S.A.C.,ANDRES,PUNO,LAMPA,OCUVIRI,"Au, Ag",-70.842099,-15.277586
210705,MINERíA SUPERFICIAL,CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.,LAS AGUILAS,PUNO,LAMPA,OCUVIRI,"Pb, Zn, Au, Ag",-70.77731,-15.093469
40409,MINERÍA SUBTERRÁNEA,COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,ORCOPAMPA,AREQUIPA,CASTILLA,ORCOPAMPA,"Au, Ag",-72.351576,-15.27263
50806,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA ARES S.A.C.,NMACULADA,AYACUCHO,PAUCAR DEL SARA SARA,OYOLO,"Au, Ag",-73.18,-14.786
150901,MINERíA NO METÁLICA,MINING ATALAYA S.A.C.,ATALAYA,LIMA,OYON,OYON,Carbón,-76.801,-10.57
150901,MINERÍA SUBTERRÁNEA,EMPRESA MINERA LOS QUENUALES S.A.,ISCAYCRUZ,LIMA,OYON,OYON,"Cu, Pb, Zn, Ag",-76.725,-10.837
150901,MINERÍA SUBTERRÁNEA,COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,UCHUCCHACUA,LIMA,OYON,OYON,"Pb, Zn, Ag",-76.675513,-10.616787
150123,MINERíA NO METÁLICA,UNION ANDINA DE CEMENTOS S.A.A.,PUCARA,LIMA,LIMA,PACHACAMAC,Caliza,-76.815906,-12.193023
180303,FUNDICION,SOUTHERN PERU COPPER CORPORATION SUCURSAL DEL PERU,LA FUNDICION,MOQUEGUA,ILO,PACOCHA,Cu,-71.354,-17.584
180303,REFINERIA,SOUTHERN PERU COPPER CORPORATION SUCURSAL DEL PERU,REF.DE COBRE - ILO,MOQUEGUA,ILO,PACOCHA,"Cu, Au, Ag",-71.354,-17.584
200501,MINERíA NO METÁLICA,ANDALUCITA S.A.,LUCITA,PIURA,PAITA,PAITA,Andalucita,-81.062,-5.248
230107,MINERíA SUPERFICIAL,MINSUR S.A.,PUCAMARCA,TACNA,TACNA,PALCA,"Au, Ag",-69.813377,-17.818876
110505,REFINERIA,MINSUR S.A.,FUNSUR,ICA,PISCO,PARACAS,Sn,-76.174081,-13.779953
110505,MINERíA NO METÁLICA,QUIMPAC S.A.,SALINAS DE OTUMA,ICA,PISCO,PARACAS,Sal,-76.234211,-14.005146
130808,MINERÍA SUBTERRÁNEA,CONSORCIO MINERO HORIZONTE S.A.,LOS ZAMBOS,LA LIBERTAD,PATAZ,PARCOY,Au,-77.293292,-7.584287
130808,MINERÍA SUBTERRÁNEA,CONSORCIO MINERO HORIZONTE S.A.,PARCOY,LA LIBERTAD,PATAZ,PARCOY,Au,-77.557159,-8.033611
130808,MINERíA SUPERFICIAL,MINERA AURIFERA RETAMAS S.A.,ANDRES (RETAMAS AMPLIADO),LA LIBERTAD,PATAZ,PARCOY,"Au, Ag",-77.458447,-8.04125
20607,MINERíA NO METÁLICA,CAL SAN GERONIMO S.R.L.,SAN GERONIMO,ANCASH,CARHUAZ,PARIAHUANCA,Calcita,-77.592,-9.354
130809,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA PODEROSA S.A.,LA PODEROSA DE TRUJILLO,LA LIBERTAD,PATAZ,PATAZ,"Au, Ag",-77.624517,-7.687404
130809,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA PODEROSA S.A.,LIBERTAD,LA LIBERTAD,PATAZ,PATAZ,"Au, Ag",-77.579045,-7.763368
180208,MINERíA NO METÁLICA,MINERA SANTA BARBARA GMC - MSB S.A.C.,SANTA BARBARA GMC,MOQUEGUA,GENERAL SANCHEZ CERRO,PUQUINA,Piedra Laja,-71.24,-16.584
211206,MINERÍA SUBTERRÁNEA,CORI PUNO S.A.C.,CORI RIQUEZA,PUNO,SANDIA,QUIACA,Au,-69.2257,-14.2858
211206,MINERÍA SUBTERRÁNEA,CORI PUNO S.A.C.,UNTUCA,PUNO,SANDIA,QUIACA,Au,-69.367,-14.588
40207,MINERíA NO METÁLICA,COMPAÑIA MINERA AGREGADOS CALCAREOS S.A.,15 DE ENERO,AREQUIPA,CAMANA,QUILCA,"Feldespatos, Mica",-72.385,-16.669
80707,MINERíA SUPERFICIAL,ANABI S.A.C.,ANABI,CUSCO,CHUMBIVILCAS,QUIÑOTA,"Au, Ag",-72.284965,-14.441184
40606,MINERÍA SUBTERRÁNEA,CENTURY MINING PERU S.A.C.,SAN JUAN DE AREQUIPA,AREQUIPA,CONDESUYOS,RIO GRANDE,Au,-73.09,-15.885
150716,MINERíA NO METÁLICA,UNION DE CONCRETERAS S.A.,UNICON,LIMA,HUAROCHIRI,SAN ANTONIO,Hormigón,-76.890794,-11.951853
110507,MINERíA NO METÁLICA,UNION ANDINA DE CEMENTOS S.A.A.,LAS DUNAS,ICA,PISCO,SAN CLEMENTE,Yeso,-76.16,-13.64
190108,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA ATACOCHA S.A.A.,ATACOCHA,PASCO,PASCO,SAN FRANCISCO DE ASIS DE YARUSYACAN,"Pb, Zn, Au, Ag, Cu, Bi",-76.216735,-10.575373
240105,MINERíA NO METÁLICA,RAZA VENTAS S.A.C,PAN Y AZUCAR 2007,TUMBES,TUMBES,SAN JACINTO,Arenisca,-80.472,-3.65
40119,MINERíA NO METÁLICA,INKABOR S.A.C.,INKABOR (BORAX),AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,Boratos / Ulexita,-71.14,-16.378
21014,MINERíA SUPERFICIAL,COMPAÑIA MINERA ANTAMINA S.A.,ANTAMINA,ANCASH,HUARI,SAN MARCOS,"Cu, Mo, Pb, Zn, Ag",-77.064656,-9.536829
150722,MINERÍA SUBTERRÁNEA,GREAT PANTHER CORICANCHA S.A.,CORICANCHA,LIMA,HUAROCHIRI,SAN MATEO,"Cu, Pb, Zn, Ag",-76.312,-11.755
101007,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA RAURA S.A.,RAURA,HUANUCO,LAURICOCHA,SAN MIGUEL DE CAURI,"Zn, Ag, Pb, Cu",-76.755245,-10.449452
90509,MINERÍA SUBTERRÁNEA,DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA,COBRIZA 1126,HUANCAVELICA,CHURCAMPA,SAN PEDRO DE CORIS,"Cu, Ag",-74.3972,-12.565994
130701,MINERíA NO METÁLICA,CEMENTOS PACASMAYO S.A.A.,PACASMAYO,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,"Arcillas, Arena",-79.553,-7.383
120807,MINERíA SUPERFICIAL,COMPAÑIA MINERA CHUNGAR S.A.C.,ALPAMARCA,JUNIN,YAULI,SANTA BARBARA DE CARHUACAYAN,"Cu, Pb, Zn, Ag",-76.451271,-11.21673
150610,MINERÍA SUBTERRÁNEA,TREVALI PERU S.A.C.,SANTANDER,LIMA,HUARAL,SANTA CRUZ DE ANDAMARCA,"Pb, Zn, Ag, Cu",-76.520676,-11.193873
210709,MINERíA SUPERFICIAL,CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.,TACAZA,PUNO,LAMPA,SANTA LUCIA,"Cu, Pb, Zn, Ag",-70.727258,-15.627999
200801,MINERíA NO METÁLICA,COMPAÑIA MINERA MISKI MAYO S.R.L.,BAYOVAR 2,PIURA,SECHURA,SECHURA,Fosfatos,-80.837945,-6.103152
200801,MINERíA NO METÁLICA,JUAN PAULO QUAY S.A.C.,BAYOVAR Nº 12,PIURA,SECHURA,SECHURA,Yeso,-80.592,-5.979
200801,MINERíA NO METÁLICA,FOSFATOS DEL PACIFICO S.A.,BAYOVAR Nº 9,PIURA,SECHURA,SECHURA,Diatomita,-80.852,-5.983
200801,MINERíA NO METÁLICA,CEMENTOS PACASMAYO S.A.A.,VIRRILA,PIURA,SECHURA,SECHURA,Conchuelas,-80.765537,-5.922773
61309,MINERíA NO METÁLICA,CEMENTOS PACASMAYO S.A.A.,CUNYAC,CAJAMARCA,SANTA CRUZ,SEXI,Puzolana,-79.032,-6.527
190109,MINERíA SUPERFICIAL,EMPRESA ADMINISTRADORA CERRO S.A.C.,PARAGSHA,PASCO,PASCO,SIMON BOLIVAR,"Cu, Pb, Zn, Au, Ag",-76.263414,-10.68877
190109,MINERíA SUPERFICIAL,OXIDOS DE PASCO S.A.C.,OXIDOS DE PASCO,PASCO,PASCO,SIMON BOLIVAR,"Cu, Au, Ag",-76.279,-10.686
80807,MINERÍA SUBTERRÁNEA,AMG-AUPLATA MINING GROUP PERU S.A.C.,ANA MARIA,CUSCO,ESPINAR,SUYCKUTAMBO,"Pb, Zn, Au, Ag",-71.74813,-15.072096
40516,MINERÍA SUBTERRÁNEA,COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,TAMBOMAYO,AREQUIPA,CAYLLOMA,TAPAY,"Au, Ag, Pb, Zn",-71.914662,-15.47118
190111,MINERíA SUPERFICIAL,SOCIEDAD MINERA EL BROCAL S.A.A.,HUARAUCACA,PASCO,PASCO,TINYAHUARCO,"Zn, Ag, Pb, Cu",-76.266973,-10.747345
180106,MINERíA SUPERFICIAL,SOUTHERN PERU COPPER CORPORATION SUCURSAL DEL PERU,CUAJONE,MOQUEGUA,MARISCAL NIETO,TORATA,"Cu, Mo, Au, Ag",-70.785977,-17.067197
40124,MINERíA NO METÁLICA,CONCRETOS SUPERMIX S.A.,LA PODEROSA N°1,AREQUIPA,AREQUIPA,UCHUMAYO,Hormigón,-71.736,-16.443
130614,MINERíA SUPERFICIAL,MINERA BARRICK MISQUICHILCA S.A.,ALTO CHICAMA,LA LIBERTAD,OTUZCO,USQUIL,"Au, Ag",-78.299139,-7.889347
80708,MINERíA SUPERFICIAL,HUDBAY PERU S.A.C.,CONSTANCIA,CUSCO,CHUMBIVILCAS,VELILLE,"Cu, Mo, Au, Ag",-71.768614,-14.456192
150143,MINERíA NO METÁLICA,UNION ANDINA DE CEMENTOS S.A.A.,ATOCONGO,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,Caliza,-76.876884,-12.188936
110305,MINERÍA SUBTERRÁNEA,KARTIKAY PERUVIAN MINING COMPANY S.A.C.,LOS INCAS,ICA,NASCA,VISTA ALEGRE,"Cu, Pb, Zn, Au, Ag",-74.411041,-14.5722616
110305,MINERíA SUPERFICIAL,VISTA GOLD S.A.C.,VISTA GOLD,ICA,NASCA,VISTA ALEGRE,"Au, Ag",-74.953,-14.956
120306,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.,SAN VICENTE,JUNIN,CHANCHAMAYO,VITOC,"Pb, Zn",-75.38943,-11.229181
190113,MINERÍA SUBTERRÁNEA,NEXA RESOURCES EL PORVENIR S.A.C.,ELPORVENIR,PASCO,PASCO,YANACANCHA,"Cu, Pb, Zn, Au, Ag",-76.213095,-10.625513
40127,MINERíA SUPERFICIAL,SOCIEDAD MINERA CERRO VERDE S.A.A.,CERRO VERDE,AREQUIPA,AREQUIPA,YARABAMBA,"Cu, Mo",-71.570247,-16.534078
120810,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA CASAPALCA S.A.,AMERICANA,JUNIN,YAULI,YAULI,"Zn, Ag, Cu, Pb",-76.199576,-11.698612
120810,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA ARGENTUM S.A.,ANTICONA,JUNIN,YAULI,YAULI,"Zn, Ag, Cu, Pb",-76.171596,-11.637246
120810,MINERÍA SUBTERRÁNEA,VOLCAN COMPAÑÍA MINERA S.A.A.,CARAHUACRA,JUNIN,YAULI,YAULI,"Zn, Ag, Cu, Pb",-76.070389,-11.740413
120810,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA ARGENTUM S.A.,MANUELITA,JUNIN,YAULI,YAULI,"Pb, Zn, Ag, Cu",-76.096077,-11.628891
120810,MINERÍA SUBTERRÁNEA,VOLCAN COMPAÑÍA MINERA S.A.A.,SAN CRISTOBAL,JUNIN,YAULI,YAULI,"Cu, Pb, Zn, Ag",-75.484539,-12.018773
120810,MINERíA NO METÁLICA,MINERA CHINALCO PERU S.A.,TUNSHURUCO,JUNIN,YAULI,YAULI,Caliza,-76.139792,-11.656098
60508,MINERíA NO METÁLICA,CEMENTOS PACASMAYO S.A.A.,TEMBLADERA,CAJAMARCA,CONTUMAZA,YONAN,Caliza,-79.124,-7.247
40128,MINERíA NO METÁLICA,YURA S.A.,YURA,AREQUIPA,AREQUIPA,YURA,"Caliza, Pizarra, Puzolana, Yeso",-71.778723,-16.206498
